x,y
2014,702,63
2014,857,212
2014,214,648
2014,338,570
2014,370,615
2014,311,583
2014,294,115
2014,818,396
2014,240,54
2014,192,173
2014,187,120
2014,259,242
2014,465,677
2014,282,356
2014,320,713
2014,299,690
2014,308,690
2014,651,446
2014,565,435
2014,451,450
2014,450,522
2014,380,570
2014,412,557
2014,462,648
2014,355,609
2014,451,623
2014,817,431
2014,672,517
2014,683,515
2014,643,611
2014,695,780
2014,318,709
2014,347,710
2014,334,680
2014,394,727
2014,369,733
2014,631,919
2014,720,930
2014,787,942
2014,865,918
2014,845,882
2014,578,912
2014,818,779
2014,714,892
2014,718,889
2014,623,926
2014,888,868
2014,627,673
2014,717,654
2014,783,754
2014,656,704
2014,684,719
2014,725,705
2014,722,757
2014,699,662
2014,611,414
2014,518,479
2014,673,651
2014,930,953
2014,837,928
2014,513,888
2014,874,698
2014,632,946
2014,674,930
2014,575,629
2014,672,643
2014,717,701
2014,554,869
2014,453,858
2014,459,883
2014,477,904
2014,325,643
2014,334,718
2014,926,760
2014,931,912
2014,903,804
2014,358,65
2014,181,58
2014,843,166
2014,291,255
2014,24,29
2014,141,46
2014,30,66
2014,48,53
2014,61,29
2014,807,559
2014,499,351
2014,571,665
2014,494,645
2014,159,866
2014,447,271
2014,452,196
2014,445,481
2014,871,916
2014,455,744
2014,450,752
2014,394,699
2014,437,768
2014,482,750
2014,413,607
2014,642,597
2014,429,761
2014,487,573
2014,311,612
2014,368,601
2014,458,615
2014,384,558
2014,563,561
2014,838,337
2014,657,940
2014,751,871
2014,933,570
2014,934,598
2014,934,562
2014,924,616
2014,791,582
2014,444,861
2014,635,827
2014,704,882
2014,731,888
2014,774,934
2014,884,915
2014,915,586
2014,920,500
2014,31,355
2014,77,471
2014,83,435
2014,269,635
2014,233,708
2014,295,650
2014,414,809
2014,245,697
2014,202,700
2014,94,625
2014,290,642
2014,459,518
2014,116,279
2014,97,235
2014,148,152
2014,228,278
2014,125,120
2014,806,811
2014,860,711
2014,850,786
2014,844,885
2014,749,943
2014,126,841
2014,211,867
2014,723,875
2014,768,929
2014,552,927
2014,925,784
2014,879,835
2014,890,857
2014,886,824
2014,533,505
2014,545,408
2014,303,630
2014,213,575
2014,318,619
2014,347,620
2014,378,624
2014,816,697
2014,718,703
2014,697,686
2014,725,727
2014,713,917
2014,747,883
2014,765,902
2014,899,947
2014,866,945
2014,543,570
2014,619,618
2014,693,685
2014,586,642
2014,709,711
2014,406,672
2014,277,668
2014,347,704
2014,913,680
2014,878,729
2014,882,757
2014,889,742
2014,868,929
2014,763,867
2014,742,783
2014,548,658
2014,499,690
2014,387,587
2014,239,760
2014,575,613
2014,510,679
2014,496,691
2014,434,677
2014,877,499
2014,815,532
2014,893,935
2014,896,939
2014,396,727
2014,937,768
2014,441,921
2014,437,932
2014,462,948
2014,295,885
2014,127,824
2014,320,364
2014,306,379
2014,707,665
2014,810,788
2014,569,679
2014,850,934
2014,923,857
2014,947,938
2014,547,901
2014,429,779
2014,570,669
2014,571,656
2014,264,667
