x,y
2014,744,75
2014,686,44
2014,215,562
2014,141,500
2014,155,433
2014,300,516
2014,311,523
2014,329,394
2014,221,512
2014,250,396
2014,207,617
2014,647,287
2014,26,680
2014,494,496
2014,525,428
2014,508,509
2014,440,367
2014,62,836
2014,813,363
2014,855,348
2014,373,444
2014,461,914
2014,594,576
2014,640,648
2014,922,505
2014,661,563
2014,717,577
2014,668,492
2014,583,943
2014,336,937
2014,655,768
2014,890,171
2014,550,132
2014,44,745
2014,754,394
2014,384,452
2014,739,315
2014,598,220
2014,636,279
2014,623,302
2014,23,704
2014,864,279
2014,766,274
2014,579,87
2014,487,38
2014,679,168
2014,899,302
2014,607,624
2014,541,92
2014,214,84
2014,152,389
2014,56,452
2014,53,382
2014,533,378
2014,308,288
2014,312,292
2014,261,286
2014,565,212
2014,353,416
2014,295,459
2014,356,491
2014,300,464
2014,348,585
2014,247,766
2014,323,639
2014,571,357
2014,99,811
2014,216,655
2014,237,664
2014,608,369
2014,587,656
2014,301,470
2014,678,723
2014,901,803
2014,814,946
2014,506,536
2014,440,722
2014,454,736
2014,830,140
2014,819,163
2014,448,486
2014,614,363
2014,603,362
2014,480,390
2014,435,599
2014,434,199
2014,402,148
2014,392,67
2014,450,95
2014,472,68
2014,82,359
2014,78,311
2014,84,470
2014,156,533
2014,155,422
2014,35,291
2014,259,232
2014,250,251
2014,182,223
2014,197,169
2014,79,292
2014,191,112
2014,170,147
2014,566,290
2014,769,263
2014,700,208
2014,410,151
2014,491,171
2014,405,101
2014,40,379
2014,44,344
2014,140,440
2014,461,202
2014,469,233
2014,471,194
2014,699,43
2014,587,66
2014,688,174
2014,752,325
2014,544,38
2014,314,593
2014,764,234
2014,814,193
2014,512,346
2014,414,307
2014,421,307
2014,400,419
2014,325,339
2014,81,479
2014,86,195
2014,289,82
2014,440,483
2014,179,856
2014,367,845
2014,203,908
2014,274,888
2014,762,66
2014,613,389
2014,638,418
2014,560,327
2014,525,670
2014,780,613
2014,822,505
2014,663,53
2014,590,479
2014,371,557
2014,925,506
2014,416,758
2014,731,360
2014,651,405
2014,356,384
2014,921,370
2014,915,414
2014,617,413
2014,476,772
2014,511,793
2014,371,721
2014,434,768
2014,825,135
2014,697,75
2014,85,683
2014,406,388
2014,363,373
2014,234,848
2014,791,198
2014,730,97
2014,685,340
2014,532,225
2014,137,910
2014,763,368
2014,484,596
2014,571,612
2014,681,47
2014,156,820
2014,601,368
2014,865,312
2014,473,602
2014,922,241
2014,904,180
2014,546,374
2014,733,115
2014,743,89
2014,778,119
2014,645,479
2014,935,425
2014,905,267
2014,662,538
2014,748,53
2014,423,541
2014,399,453
2014,561,438
2014,452,468
2014,457,404
2014,936,471
2014,921,416
2014,633,345
2014,249,391
2014,470,453
2014,67,761
2014,715,220
2014,534,403
2014,713,301
2014,458,296
2014,460,400
2014,315,353
2014,256,318
2014,240,303
2014,138,620
2014,337,410
2014,398,539
2014,489,453
2014,473,530
2014,411,445
2014,478,460
2014,33,708
2014,769,133
2014,28,704
2014,30,447
2014,337,586
2014,525,349
2014,524,568
2014,838,99
2014,49,773
2014,661,687
2014,638,655
2014,661,554
2014,871,525
2014,878,513
2014,905,207
2014,389,605
2014,357,750
2014,732,227
2014,201,928
2014,711,68
2014,832,394
2014,826,365
2014,726,265
2014,618,288
2014,252,877
2014,248,873
2014,525,828
2014,646,426
2014,455,282
2014,479,214
2014,529,465
2014,552,500
2014,615,52
2014,559,69
2014,776,56
2014,291,669
2014,335,680
2014,629,59
2014,463,88
2014,370,433
2014,315,392
2014,216,276
2014,208,281
2014,413,409
2014,454,401
2014,488,307
2014,482,313
2014,686,514
2014,249,302
2014,288,247
2014,264,269
2014,457,838
2014,308,243
2014,82,652
2014,27,530
2014,310,633
2014,481,527
2014,453,520
2014,386,592
2014,486,684
2014,662,417
2014,641,419
2014,566,398
2014,628,478
2014,402,411
2014,492,99
2014,283,336
2014,368,410
2014,324,39
2014,413,196
2014,516,482
2014,299,236
2014,389,41
2014,478,85
2014,433,40
2014,459,74
2014,313,671
2014,353,367
2014,285,299
2014,844,120
2014,749,374
2014,86,859
2014,216,876
2014,446,442
2014,447,465
2014,420,424
2014,406,398
2014,655,383
2014,750,371
2014,492,442
2014,385,472
2014,431,409
2014,730,49
2014,699,43
2014,713,85
2014,390,476
2014,865,184
2014,702,41
2014,843,328
2014,330,313
2014,634,267
2014,640,257
2014,649,254
2014,669,288
2014,481,692
2014,480,734
2014,478,799
2014,467,750
2014,301,674
2014,285,686
2014,326,715
2014,329,714
2014,187,741
2014,903,318
2014,909,334
2014,843,209
2014,768,128
2014,602,47
2014,532,530
2014,501,491
2014,462,445
2014,365,347
2014,834,104
2014,366,504
2014,27,664
2014,720,594
2014,721,604
2014,740,586
2014,788,606
2014,783,612
2014,66,292
2014,30,481
2014,419,551
2014,393,136
2014,403,123
2014,373,727
2014,445,319
2014,162,769
2014,543,445
2014,856,795
2014,901,833
2014,438,474
2014,28,720
2014,527,501
2014,575,409
2014,140,812
2014,174,873
2014,174,864
2014,281,802
2014,216,519
2014,373,438
2014,786,430
2014,831,169
2014,379,362
2014,390,383
2014,452,303
2014,351,349
2014,544,437
2014,215,750
2014,87,386
2014,575,364
2014,416,397
2014,749,79
2014,705,73
2014,392,441
2014,33,747
2014,103,655
2014,127,651
2014,399,458
2014,358,495
2014,419,471
2014,431,479
2014,544,424
2014,538,430
2014,461,365
2014,292,331
2014,235,247
2014,411,152
2014,913,219
2014,759,73
2014,484,755
2014,313,372
2014,23,674
2014,302,323
2014,509,224
2014,481,197
2014,543,225
2014,505,74
2014,180,371
2014,177,670
2014,512,917
2014,558,800
2014,550,346
2014,408,168
2014,266,83
2014,633,106
2014,525,906
2014,293,347
2014,111,653
2014,290,46
2014,316,57
2014,404,198
2014,470,84
2014,729,109
2014,689,68
2014,658,54
2014,203,487
2014,197,512
2014,569,231
2014,583,257
2014,692,99
2014,597,46
2014,69,487
2014,24,418
2014,328,50
2014,657,298
2014,528,686
2014,652,435
2014,620,479
2014,659,515
2014,732,495
2014,504,716
2014,935,766
2014,348,567
2014,380,844
2014,305,819
2014,661,84
2014,544,56
2014,306,385
2014,18,292
2014,21,291
2014,466,88
2014,413,75
2014,78,580
2014,41,437
2014,278,268
2014,32,177
2014,53,97
2014,197,872
2014,874,232
2014,576,523
2014,151,850
2014,399,469
2014,651,346
2014,842,200
2014,770,347
2014,400,419
2014,677,874
2014,626,274
2014,666,372
2014,683,334
2014,98,771
2014,483,67
2014,446,97
2014,455,38
2014,537,60
