x,y
2017,588,548
2017,573,512
2017,562,539
2017,643,387
2017,820,353
2017,840,216
2017,896,149
2017,861,205
2017,270,943
2017,281,872
2017,958,507
2017,778,383
2017,567,574
2017,81,842
2017,668,60
2017,819,145
2017,272,904
2017,287,954
2017,610,400
2017,595,531
2017,280,953
2017,587,604
2017,273,907
2017,484,620
2017,963,345
2017,953,281
2017,562,568
2017,908,306
2017,580,678
2017,356,956
2017,906,252
2017,554,582
2017,708,209
2017,587,542
2017,298,928
2017,908,158
2017,495,445
2017,178,801
2017,241,936
2017,568,561
2017,608,542
2017,651,485
2017,90,779
2017,115,698
2017,411,640
2017,789,89
2017,478,503
2017,795,143
2017,267,930
2017,242,922
2017,589,614
2017,871,366
2017,854,179
2017,915,265
2017,922,251
2017,824,194
2017,890,362
2017,872,341
2017,876,214
2017,917,338
2017,223,896
2017,498,736
2017,246,932
2017,905,213
2017,920,214
2017,316,958
2017,896,218
2017,65,746
2017,225,896
2017,196,875
2017,62,757
2017,131,897
2017,606,566
2017,894,227
2017,608,564
2017,907,198
2017,291,831
2017,283,787
2017,653,123
2017,571,553
2017,295,906
2017,259,637
2017,773,79
2017,278,785
2017,266,892
2017,932,259
2017,113,742
2017,961,418
2017,938,323
2017,893,245
2017,936,495
2017,853,124
2017,770,128
2017,781,313
2017,713,337
2017,871,222
2017,668,423
2017,927,198
2017,237,605
2017,874,122
2017,844,163
2017,515,407
2017,586,519
2017,597,408
2017,648,398
2017,723,370
2017,805,349
2017,685,416
2017,926,272
2017,828,99
2017,269,923
2017,913,400
2017,894,242
2017,923,220
2017,914,314
2017,544,595
2017,124,906
2017,591,683
2017,491,314
2017,564,439
2017,577,458
2017,781,310
2017,700,403
2017,682,476
2017,541,485
2017,508,488
2017,603,544
2017,894,148
2017,683,367
2017,286,933
2017,934,273
2017,573,521
2017,900,227
2017,797,481
2017,959,337
2017,415,963
2017,304,955
2017,215,869
2017,794,394
2017,86,844
2017,899,211
2017,873,137
2017,920,253
2017,942,512
2017,952,316
2017,871,112
2017,945,357
2017,961,333
2017,456,459
2017,282,926
2017,951,353
2017,348,938
2017,508,531
2017,567,556
2017,692,343
2017,600,575
