x,y
2017,605,391
2017,759,252
2017,232,604
2017,55,717
2017,877,116
2017,789,111
2017,785,82
2017,847,160
2017,852,157
2017,121,787
2017,507,531
2017,432,412
2017,743,115
2017,719,151
2017,719,92
2017,113,774
2017,686,509
2017,475,457
2017,693,68
2017,733,64
2017,413,456
2017,54,709
2017,492,313
2017,483,294
2017,503,215
2017,58,729
2017,747,250
2017,383,438
2017,918,188
2017,757,268
2017,756,282
2017,724,212
2017,500,469
2017,891,137
2017,226,740
2017,675,366
2017,186,837
2017,637,505
2017,515,518
2017,250,627
2017,250,592
2017,396,406
2017,74,704
2017,53,723
2017,752,76
2017,768,77
2017,121,824
2017,556,491
2017,860,333
2017,656,366
2017,118,714
2017,792,129
2017,865,366
2017,952,575
2017,230,928
2017,352,945
2017,191,911
2017,68,749
2017,809,156
2017,782,79
2017,739,88
2017,173,925
2017,600,531
2017,694,489
2017,609,506
2017,526,568
2017,364,414
2017,421,418
2017,283,799
2017,702,100
2017,685,225
2017,804,388
2017,840,227
2017,778,85
2017,765,129
2017,795,111
2017,763,248
2017,423,461
2017,814,127
2017,58,738
2017,857,157
2017,865,203
2017,109,745
2017,256,892
2017,234,887
2017,747,63
2017,260,445
2017,846,156
2017,862,155
2017,663,82
2017,700,54
2017,773,318
2017,129,857
2017,419,388
2017,687,423
2017,606,387
2017,255,495
2017,309,472
2017,892,234
2017,910,228
2017,826,202
2017,768,111
2017,801,74
2017,700,380
2017,60,697
2017,319,455
2017,778,100
2017,738,61
2017,84,724
2017,804,93
2017,895,297
2017,898,400
2017,799,496
2017,873,159
2017,693,73
2017,540,439
2017,81,698
2017,400,416
2017,698,489
2017,492,314
2017,116,870
2017,567,695
2017,710,56
2017,500,339
2017,433,330
2017,389,422
2017,455,447
2017,492,321
2017,394,410
2017,547,353
2017,522,355
2017,588,396
2017,614,394
2017,76,776
2017,726,63
2017,546,544
2017,426,907
2017,763,401
2017,391,891
2017,367,943
2017,432,649
2017,255,880
2017,533,434
2017,171,838
2017,78,752
2017,721,334
2017,716,320
2017,429,419
2017,426,407
2017,433,328
2017,259,920
2017,58,763
2017,68,812
2017,263,888
2017,496,339
2017,760,303
2017,602,393
2017,50,508
2017,877,221
2017,835,106
2017,389,408
2017,66,795
2017,126,791
2017,96,693
2017,424,442
2017,396,425
2017,466,778
2017,105,809
2017,736,521
2017,55,725
2017,50,516
2017,354,621
2017,435,451
2017,283,856
2017,819,159
2017,951,252
2017,745,62
2017,905,149
2017,873,204
2017,795,103
2017,64,762
2017,425,739
2017,425,438
2017,869,148
2017,900,157
2017,749,113
2017,612,654
2017,761,92
2017,757,111
2017,825,89
2017,492,523
2017,152,824
2017,480,451
2017,415,431
2017,79,712
2017,495,479
2017,88,691
2017,680,523
2017,779,600
2017,234,794
2017,736,71
2017,721,81
2017,106,732
2017,505,605
2017,843,339
2017,831,98
2017,169,862
2017,408,475
2017,485,960
2017,408,908
2017,861,331
2017,519,70
2017,504,82
2017,57,702
2017,530,635
2017,56,720
2017,688,65
2017,442,433
2017,825,133
2017,645,164
2017,484,482
2017,410,388
2017,748,86
2017,281,880
2017,64,462
2017,165,921
2017,93,697
2017,399,582
2017,479,464
2017,442,424
2017,363,932
2017,795,208
2017,131,824
2017,726,60
2017,428,480
2017,582,683
2017,55,705
2017,91,771
2017,777,95
2017,716,58
2017,873,117
2017,866,110
2017,455,482
2017,720,512
2017,737,65
2017,726,64
2017,643,964
2017,388,356
2017,815,176
2017,860,140
2017,833,184
2017,98,785
2017,615,393
2017,323,706
2017,396,909
2017,353,417
2017,439,434
2017,469,504
2017,800,149
2017,198,792
2017,671,444
2017,691,91
2017,725,82
2017,703,60
2017,449,946
2017,142,842
2017,235,935
2017,538,436
2017,664,111
2017,483,296
2017,389,616
2017,61,734
2017,544,595
2017,832,126
2017,423,467
2017,480,314
2017,397,360
2017,750,89
2017,368,526
2017,365,603
2017,228,580
2017,134,515
2017,803,84
2017,666,423
2017,420,446
2017,846,124
2017,336,727
2017,556,559
2017,688,57
2017,868,165
2017,826,92
2017,123,820
2017,404,447
2017,616,514
2017,498,453
2017,632,399
2017,902,391
2017,176,860
2017,493,481
2017,504,89
2017,456,86
2017,272,777
2017,700,60
2017,730,60
2017,582,466
2017,519,677
2017,380,434
2017,840,311
2017,821,339
2017,170,794
2017,99,754
2017,95,747
2017,388,764
2017,816,98
2017,279,503
2017,957,367
2017,734,59
2017,710,59
2017,595,77
2017,847,134
2017,451,448
2017,870,113
2017,447,441
2017,467,571
2017,446,429
2017,480,207
2017,213,883
2017,838,107
2017,405,458
2017,224,882
2017,558,508
2017,891,164
2017,668,97
2017,663,311
2017,416,477
2017,843,125
2017,717,59
2017,151,505
2017,794,74
2017,568,101
2017,721,150
2017,260,855
2017,855,163
2017,733,379
2017,894,154
2017,329,549
2017,854,210
2017,927,229
2017,899,387
2017,563,507
2017,807,246
2017,858,362
2017,783,512
2017,368,955
2017,845,96
2017,697,72
2017,827,491
2017,189,668
2017,98,716
2017,917,226
2017,580,356
2017,532,324
2017,755,71
2017,886,184
2017,257,707
2017,255,868
2017,319,722
2017,374,726
2017,712,196
2017,55,747
2017,420,445
2017,381,441
2017,52,722
2017,700,740
2017,719,231
2017,202,775
2017,692,389
2017,327,686
2017,60,755
2017,118,684
2017,722,58
2017,814,202
2017,483,324
2017,412,473
2017,356,685
2017,388,444
2017,468,428
2017,154,644
2017,414,724
2017,92,799
2017,832,335
2017,818,254
2017,847,156
2017,927,368
2017,551,666
2017,922,179
2017,890,222
2017,892,214
2017,61,469
2017,606,421
2017,490,508
2017,799,149
2017,496,323
2017,730,93
2017,842,153
2017,805,183
2017,770,68
2017,338,416
2017,711,101
2017,402,408
2017,389,431
2017,806,87
2017,859,108
2017,457,332
2017,865,115
2017,785,220
2017,770,126
2017,772,221
2017,726,168
2017,741,95
2017,815,120
2017,720,98
2017,694,59
2017,476,306
2017,839,564
2017,231,801
2017,281,499
2017,563,498
2017,681,101
2017,738,100
2017,96,759
2017,746,157
2017,683,364
2017,682,349
2017,499,542
2017,929,267
2017,895,149
2017,758,64
2017,238,945
2017,107,842
2017,303,575
2017,860,173
2017,791,126
2017,803,184
2017,663,171
2017,425,766
2017,248,603
2017,771,71
2017,603,58
2017,400,381
2017,82,709
2017,53,718
2017,681,95
2017,168,905
2017,761,95
2017,703,77
2017,148,826
2017,470,474
2017,262,730
2017,781,121
2017,113,790
