x,y
2017,112,485
2017,82,430
2017,193,766
2017,431,624
2017,451,646
2017,520,660
2017,414,858
2017,286,211
2017,119,254
2017,248,242
2017,171,119
2017,446,922
2017,418,907
2017,355,908
2017,413,921
2017,515,406
2017,326,359
2017,326,360
2017,380,377
2017,278,260
2017,155,201
2017,419,615
2017,411,650
2017,282,644
2017,322,514
2017,413,450
2017,198,869
2017,54,658
2017,105,693
2017,165,631
2017,401,636
2017,274,676
2017,242,687
2017,342,579
2017,312,612
2017,271,882
2017,338,581
2017,336,391
2017,106,361
2017,746,709
2017,398,451
2017,94,355
2017,46,232
2017,42,269
2017,44,191
2017,278,283
2017,614,311
2017,818,226
2017,888,500
2017,867,759
2017,725,759
2017,471,627
2017,402,603
2017,406,609
2017,865,667
2017,959,629
2017,953,656
2017,940,656
2017,894,489
2017,302,650
2017,815,909
2017,496,89
2017,600,89
2017,475,61
2017,133,63
2017,428,636
2017,411,392
2017,681,451
2017,727,331
2017,944,906
2017,721,891
2017,647,362
2017,616,373
2017,588,313
2017,733,387
2017,595,872
2017,196,537
2017,192,529
2017,315,367
2017,546,745
2017,468,788
2017,103,59
2017,134,115
2017,141,130
2017,718,816
2017,770,373
2017,934,823
2017,246,880
2017,239,883
2017,133,893
2017,947,698
2017,896,954
2017,964,556
2017,319,660
2017,870,935
2017,848,924
2017,745,793
2017,436,545
2017,414,453
2017,596,618
2017,327,625
2017,329,802
2017,240,770
2017,850,123
2017,364,714
2017,148,660
2017,785,761
2017,432,693
2017,367,414
2017,295,809
2017,793,759
2017,120,766
2017,838,184
2017,898,200
2017,378,68
2017,279,44
2017,176,82
2017,214,96
2017,202,88
2017,397,743
2017,431,951
2017,599,542
2017,651,675
2017,634,497
2017,618,491
2017,701,531
2017,562,546
2017,331,628
2017,391,594
2017,477,664
2017,515,688
2017,472,780
2017,517,231
2017,352,399
2017,371,360
2017,71,678
2017,75,703
2017,107,663
2017,112,641
2017,660,360
2017,723,214
2017,721,154
2017,807,471
2017,158,142
2017,530,673
2017,552,492
2017,411,429
2017,435,762
2017,108,505
2017,77,86
2017,190,110
2017,82,99
2017,259,252
2017,474,499
2017,555,494
2017,501,469
2017,504,434
2017,427,394
2017,338,60
2017,319,62
2017,320,99
2017,305,50
2017,275,66
2017,396,750
2017,355,403
2017,401,420
2017,464,565
2017,560,589
2017,446,661
2017,583,857
2017,388,749
2017,392,749
2017,831,758
2017,734,221
2017,892,342
2017,925,333
2017,835,330
2017,904,263
2017,505,470
2017,497,458
2017,446,473
2017,460,426
2017,417,500
2017,434,605
2017,316,304
2017,298,307
2017,235,352
2017,161,143
