x,y
2018,929,180
2018,953,442
2018,965,438
2018,632,681
2018,684,658
2018,706,728
2018,383,628
2018,802,686
2018,958,325
2018,282,948
2018,617,512
2018,588,545
2018,605,597
2018,515,203
2018,590,287
2018,755,364
2018,963,511
2018,595,701
2018,647,658
2018,605,89
2018,436,579
2018,465,543
2018,442,536
2018,108,601
2018,342,695
2018,937,438
2018,639,505
2018,642,642
2018,595,722
2018,673,666
2018,170,830
2018,915,355
2018,919,480
2018,952,520
2018,226,530
2018,860,196
2018,813,265
2018,947,330
2018,802,210
2018,916,182
2018,559,593
2018,728,193
2018,950,277
2018,849,98
2018,135,857
2018,588,458
2018,946,368
2018,265,784
2018,334,845
2018,286,946
2018,295,814
2018,154,688
2018,194,672
2018,671,479
2018,701,447
2018,585,511
2018,405,624
2018,353,584
2018,704,378
2018,690,292
2018,335,739
2018,83,763
2018,293,926
2018,653,84
2018,702,181
2018,953,510
2018,266,952
2018,869,151
2018,230,947
2018,885,128
2018,783,434
2018,772,451
2018,698,445
2018,883,491
2018,506,699
2018,505,663
2018,531,668
2018,610,681
2018,448,561
2018,557,480
2018,489,560
2018,256,957
2018,387,247
2018,270,781
2018,694,476
2018,281,953
2018,568,552
2018,472,853
2018,606,781
2018,347,781
2018,707,684
2018,311,684
2018,270,942
2018,626,583
2018,326,686
2018,312,950
2018,903,245
2018,596,318
2018,843,414
2018,687,392
2018,593,529
2018,649,409
2018,870,366
2018,497,591
2018,620,679
2018,423,743
2018,731,303
2018,653,335
2018,596,512
2018,283,690
2018,244,616
2018,241,650
2018,179,688
2018,305,656
2018,505,511
2018,474,502
2018,365,843
2018,271,955
2018,569,595
2018,297,298
2018,301,307
2018,311,262
2018,367,583
2018,708,187
2018,593,961
2018,489,331
2018,629,229
2018,455,938
2018,392,850
2018,345,790
2018,228,893
2018,461,778
2018,460,855
2018,941,495
2018,422,705
2018,121,717
2018,437,535
2018,446,437
2018,489,511
2018,229,619
2018,252,730
2018,223,741
2018,530,348
2018,745,87
2018,109,834
2018,667,399
2018,628,658
2018,260,666
2018,138,810
2018,328,958
2018,730,129
2018,745,86
2018,805,109
2018,525,497
2018,417,619
2018,392,575
2018,373,642
2018,310,803
2018,897,146
2018,608,557
2018,146,531
2018,618,603
2018,566,513
2018,613,561
2018,593,579
2018,684,717
2018,598,605
2018,572,552
2018,611,650
2018,684,724
2018,583,832
2018,499,343
2018,493,355
2018,482,467
2018,565,578
2018,278,871
2018,308,800
2018,299,933
2018,300,933
2018,243,751
2018,342,737
2018,509,413
2018,475,360
2018,553,687
2018,904,149
2018,307,864
2018,302,937
2018,575,790
2018,199,848
2018,959,343
2018,939,258
2018,651,689
2018,325,953
2018,938,345
2018,203,859
2018,414,625
2018,366,640
2018,781,214
2018,602,247
2018,814,166
2018,752,433
2018,823,486
2018,574,600
2018,696,708
2018,610,758
2018,597,587
2018,202,841
2018,698,604
2018,948,295
2018,108,703
2018,411,647
2018,550,749
2018,106,749
2018,104,849
2018,221,541
2018,331,568
2018,514,548
2018,558,553
2018,482,512
2018,783,393
2018,492,525
2018,770,421
2018,290,961
2018,532,559
2018,572,583
2018,616,759
2018,580,577
2018,315,931
2018,465,560
2018,690,432
2018,684,492
2018,487,492
