x,y
117,771
521,399
563,562
955,293
923,318
165,910
305,956
806,128
96,555
316,807
180,907
598,620
962,310
266,874
495,447
121,699
572,613
511,914
372,532
879,172
843,187
861,175
451,922
815,186
308,951
955,449
945,395
944,509
562,598
457,564
787,110
726,74
581,549
64,793
404,519
546,583
97,788
895,381
469,960
119,747
170,672
781,264
499,491
499,487
467,500
561,550
913,175
518,569
556,529
844,132
334,963
505,605
644,601
625,579
720,107
831,113
934,533
875,119
760,305
873,110
530,901
524,912
923,567
958,511
901,306
625,514
903,234
617,599
211,867
204,901
464,462
497,543
402,517
750,465
849,145
935,274
266,878
920,208
936,212
892,505
100,809
962,337
121,759
514,954
293,958
764,108
286,957
769,446
695,439
687,578
287,906
938,267
895,158
932,261
861,507
318,913
490,60
530,77
669,58
568,499
956,446
953,433
609,529
629,596
900,247
894,270
964,362
904,367
362,835
350,832
894,356
849,324
637,772
196,873
606,443
814,365
206,866
951,277
942,277
904,511
700,385
802,269
187,891
210,891
74,783
125,897
863,115
808,190
836,202
487,667
422,932
943,327
710,158
566,489
687,650
245,923
915,224
931,197
476,864
295,903
911,233
351,793
920,302
956,303
304,927
484,643
133,795
910,220
497,534
876,209
274,954
922,515
916,658
683,161
709,670
695,395
859,157
268,947
813,463
55,723
812,492
808,518
710,513
518,512
813,111
146,911
148,919
532,580
85,558
231,905
407,724
534,532
258,944
355,910
390,417
964,305
897,230
750,312
407,638
572,525
239,731
62,759
861,122
962,305
472,617
265,880
374,931
488,466
463,489
55,458
513,942
129,664
713,369
501,524
950,572
542,503
246,888
645,596
791,384
845,319
283,807
705,203
715,199
853,122
295,955
190,771
208,789
96,740
276,855
336,792
957,279
928,242
472,961
929,188
623,577
894,256
726,97
383,614
789,466
907,272
582,534
593,545
287,797
922,195
142,843
504,501
917,203
957,439
955,280
473,470
558,559
77,826
311,933
575,518
929,304
249,890
85,754
134,826
111,742
898,258
963,308
766,101
462,560
565,467
495,522
175,850
551,391
412,868
643,377
137,808
583,547
272,956
823,165
550,549
616,391
646,427
204,666
201,694
484,651
949,317
963,433
718,93
214,769
92,819
877,165
850,189
936,306
560,479
607,412
592,687
545,563
239,726
186,779
116,661
952,348
961,304
843,223
592,577
222,901
120,736
488,605
511,606
485,484
868,113
552,537
177,910
749,167
652,240
456,529
194,776
209,887
223,933
121,881
258,552
104,807
634,159
707,177
750,619
940,230
113,749
744,363
262,940
249,950
825,356
797,409
955,286
935,211
271,958
651,170
778,67
124,764
305,934
480,962
400,621
528,256
122,812
382,867
321,666
391,636
857,140
153,837
907,540
801,82
891,512
800,484
105,805
251,892
812,456
932,203
533,715
124,892
878,160
904,156
247,933
259,923
62,619
867,152
893,347
587,365
643,98
551,566
703,336
374,596
598,583
260,867
892,259
296,959
102,830
909,326
285,955
953,534
834,623
367,954
934,248
905,214
896,144
741,157
69,826
291,936
941,223
327,407
175,455
950,258
803,355
592,232
685,55
666,113
279,920
201,945
573,813
215,892
798,101
61,777
867,191
441,607
273,920
857,174
254,932
415,490
343,528
273,776
861,214
731,217
835,203
243,956
888,246
926,314
959,307
