x,y
630,578
584,563
268,951
606,593
238,941
80,753
77,750
226,885
184,520
567,511
767,389
694,398
422,866
932,269
86,815
833,111
580,452
283,917
604,598
579,535
518,326
552,366
632,421
942,323
74,826
930,292
801,289
64,790
133,671
859,187
581,557
688,505
828,106
207,822
854,110
917,297
326,918
240,953
308,957
641,624
530,548
294,811
403,873
722,689
933,274
537,641
831,115
528,521
492,485
507,425
929,245
234,712
532,507
312,900
809,156
294,801
282,887
464,491
258,952
897,343
266,958
537,506
510,693
473,647
666,410
651,373
471,908
304,785
262,725
153,810
927,222
397,837
925,191
221,883
203,917
507,252
401,72
553,515
211,897
179,856
921,453
97,726
504,421
284,958
289,827
234,945
261,922
248,940
699,214
589,562
415,480
329,954
336,934
937,242
215,876
326,941
524,594
899,189
934,214
178,882
912,177
61,786
951,320
195,914
330,952
419,963
886,144
478,469
594,580
586,363
262,887
188,873
690,275
246,892
440,656
484,557
565,575
609,604
622,612
270,954
211,941
363,894
914,171
837,140
726,163
437,483
701,455
705,461
891,267
475,486
632,599
562,539
314,958
320,959
239,771
855,159
557,707
182,865
193,795
815,266
871,135
849,208
845,210
102,862
936,313
575,589
417,939
962,298
676,177
862,195
642,598
309,936
879,169
898,173
581,616
762,400
830,497
892,276
950,284
571,568
951,295
778,132
133,825
831,142
133,789
282,957
459,959
746,527
909,256
183,854
578,146
726,153
767,326
850,416
254,689
959,260
837,446
657,390
452,479
550,559
621,573
189,808
872,160
648,636
111,587
146,654
112,714
961,281
510,925
589,425
179,898
917,319
960,331
315,958
960,300
207,775
526,374
515,351
505,354
523,354
961,470
699,497
345,942
945,324
949,333
557,169
676,294
674,279
165,871
220,891
483,944
792,84
961,344
677,653
640,392
330,946
210,921
522,501
774,431
239,922
891,182
552,558
863,163
569,562
188,655
573,472
961,344
417,383
160,903
957,307
898,239
901,346
900,344
935,354
180,421
130,533
127,852
178,853
561,905
80,813
502,427
260,757
179,808
214,810
321,517
593,606
576,425
901,155
549,499
526,948
706,171
958,442
889,229
332,954
187,510
913,177
823,501
961,298
646,489
267,945
303,956
904,287
153,652
224,603
825,478
644,128
694,81
631,109
411,151
828,94
713,519
956,285
929,178
963,330
814,358
167,912
275,923
330,917
798,157
802,97
601,412
959,308
807,145
181,782
727,169
175,686
371,374
954,279
837,158
815,99
964,334
844,325
910,303
273,958
592,545
125,843
934,310
301,934
599,546
542,492
683,406
335,961
508,545
825,196
897,184
903,546
619,594
872,159
451,498
951,273
442,928
906,295
451,507
448,962
480,286
915,411
798,274
782,581
329,939
608,555
122,725
455,470
528,948
559,926
632,506
888,255
485,412
961,286
371,939
592,302
648,232
916,329
475,340
289,957
508,951
212,866
454,530
918,570
882,503
929,576
539,903
129,660
148,806
271,935
182,832
809,256
91,837
78,801
627,322
282,875
946,447
63,695
882,235
883,128
702,617
175,864
958,338
594,584
891,259
925,290
374,872
212,457
749,60
737,80
950,262
794,198
375,618
493,481
726,171
389,832
749,137
690,61
630,242
234,906
558,117
520,212
378,911
963,427
207,896
683,466
485,957
292,959
417,719
482,739
545,958
387,756
121,762
567,502
278,949
574,558
452,658
486,767
960,296
65,695
476,445
941,350
937,286
549,734
311,947
288,957
758,130
712,88
830,236
253,738
425,855
959,296
884,234
332,942
490,688
590,902
649,938
892,183
937,242
865,432
948,241
426,693
534,591
247,792
808,77
865,220
888,215
819,181
588,628
948,597
312,789
201,681
427,339
208,677
639,88
191,936
247,936
271,640
771,93
945,333
621,63
642,672
613,604
700,93
802,286
103,757
103,773
193,868
274,895
284,941
171,820
927,203
589,565
789,292
712,507
698,494
329,928
258,943
287,956
933,198
