x,y
904,204
885,212
787,67
634,234
950,262
929,219
552,563
821,206
290,927
921,228
895,302
940,335
369,932
920,515
430,949
263,937
841,215
167,827
199,925
911,255
549,542
547,550
672,471
742,69
227,922
153,845
169,872
648,684
518,544
768,115
624,574
706,387
686,464
919,245
285,929
932,216
874,178
535,565
110,769
518,418
472,538
884,154
249,787
200,901
942,279
638,425
840,192
684,614
340,629
119,659
102,758
784,388
326,927
580,531
467,567
836,110
813,107
818,101
791,473
808,481
774,250
493,761
420,386
780,123
867,131
797,132
855,219
203,846
867,185
475,878
123,849
309,959
958,292
200,770
592,527
573,528
258,910
353,790
599,559
197,800
101,806
243,947
901,273
571,572
421,654
803,70
911,215
890,221
936,256
91,838
252,913
307,960
527,805
639,610
928,291
776,247
203,800
745,345
784,385
683,462
318,958
779,453
739,378
666,163
936,300
88,698
124,670
940,319
897,214
266,886
950,253
283,959
685,361
297,922
593,584
274,954
567,551
927,280
665,354
291,958
628,494
737,67
480,541
550,573
231,743
922,248
684,339
865,162
782,96
615,570
592,553
922,268
921,305
281,889
296,936
158,852
230,888
824,225
565,485
934,354
200,890
469,514
385,754
756,242
759,395
799,378
456,527
720,176
755,270
119,804
662,60
930,233
826,97
259,910
574,590
933,189
459,498
129,787
167,812
473,341
640,364
794,144
626,580
600,529
386,505
511,536
147,669
496,462
573,577
498,533
447,555
573,593
558,499
567,574
919,263
799,140
811,96
900,260
937,209
913,194
408,511
200,855
620,574
178,680
338,959
882,116
873,192
694,619
955,280
891,264
174,889
599,558
846,319
575,553
308,959
896,331
618,495
790,393
830,336
781,287
910,321
830,230
403,572
906,250
527,667
326,495
311,957
811,110
659,273
669,387
279,929
533,737
871,203
486,546
252,915
458,521
557,557
505,485
103,805
195,900
592,601
602,102
637,218
557,235
512,537
422,614
724,374
928,357
739,161
440,588
424,636
295,958
125,778
95,730
237,638
162,832
864,108
921,244
506,539
246,942
560,573
735,610
646,610
715,706
607,627
332,840
127,647
143,666
605,677
947,317
888,241
197,819
371,378
857,104
561,557
177,861
600,296
809,214
865,356
312,820
469,437
506,468
475,639
526,541
341,946
522,479
432,913
513,940
486,922
862,150
97,757
687,504
838,175
958,287
133,852
548,906
211,919
905,195
954,291
667,438
161,861
942,296
589,591
803,130
661,274
927,224
367,648
534,947
430,920
305,959
114,744
309,930
233,553
744,242
956,395
964,328
788,563
832,545
264,897
265,934
567,506
915,314
693,543
591,440
237,920
667,284
865,148
500,955
305,937
200,825
584,317
299,934
335,850
279,957
754,105
920,277
917,286
484,782
452,320
514,406
742,338
459,470
239,887
769,486
629,406
590,154
490,752
959,293
251,916
959,305
926,249
899,177
259,926
238,751
325,803
513,547
173,874
734,305
753,380
782,389
574,556
212,608
459,529
889,245
291,958
278,957
833,193
483,420
383,960
276,956
551,577
104,886
212,520
903,292
324,952
532,358
675,388
890,249
150,878
814,462
825,121
536,541
923,199
323,953
285,911
269,928
473,498
84,686
805,263
589,460
727,344
845,201
823,311
695,500
660,416
599,613
232,484
293,930
673,447
942,321
542,593
483,525
739,586
470,613
630,664
473,643
547,477
835,180
200,837
922,187
424,699
207,762
240,767
305,944
545,574
342,962
318,956
953,273
961,333
564,547
926,268
918,289
579,548
909,298
515,472
479,906
931,191
565,499
565,495
962,338
873,133
502,263
328,937
963,331
324,955
957,324
223,891
267,954
810,220
821,97
106,739
515,534
887,150
878,159
685,336
917,334
223,751
283,945
922,221
256,955
573,250
268,945
581,547
843,103
637,393
546,500
895,193
694,435
600,397
675,117
610,82
285,930
867,206
781,254
747,238
720,173
259,889
293,935
846,90
928,227
909,298
