x,y
521,755
482,674
556,691
745,709
702,671
724,855
770,810
721,788
883,940
281,833
348,836
370,848
585,724
609,746
710,728
717,736
475,334
231,595
269,686
223,573
186,575
463,647
237,686
217,537
347,622
744,586
951,829
371,359
333,701
348,663
388,608
626,503
54,463
77,350
80,367
75,821
391,515
409,603
513,571
927,860
323,302
343,278
922,865
839,887
428,747
260,756
582,720
686,470
556,723
346,599
260,703
584,931
506,960
428,933
486,678
467,637
738,889
730,843
661,943
361,628
292,687
295,802
169,506
234,340
278,643
284,630
260,322
313,362
492,548
922,215
85,456
500,546
407,698
456,648
387,520
963,723
958,681
910,828
925,893
560,702
657,775
643,799
701,677
303,831
649,663
260,725
306,677
293,669
405,634
493,532
543,461
547,418
586,515
116,489
107,338
356,51
618,566
917,217
596,82
285,668
751,79
358,776
675,713
237,597
701,361
446,309
409,295
719,323
513,456
582,442
558,498
695,959
224,422
308,408
433,336
836,799
396,730
484,465
560,430
561,503
509,498
740,717
391,354
217,740
149,309
444,768
442,650
833,963
666,852
644,904
602,92
690,395
705,391
733,328
787,513
731,171
784,321
717,332
824,188
865,118
191,482
226,431
86,752
418,633
792,569
675,656
637,136
727,226
374,775
240,895
239,764
355,724
519,667
399,639
922,656
920,637
932,886
921,877
920,384
388,857
572,841
492,583
176,102
525,514
631,625
595,606
694,661
822,109
724,730
311,355
259,350
798,454
873,936
839,780
229,530
224,488
450,958
221,115
737,597
780,422
780,277
929,709
949,959
905,958
326,436
255,934
490,935
472,861
468,900
769,288
362,634
411,560
336,736
367,717
729,521
752,596
594,725
351,697
868,745
838,740
868,745
905,728
938,861
680,950
468,880
325,544
315,524
352,529
724,729
849,808
514,457
510,424
427,473
399,454
389,616
236,695
172,675
102,486
296,639
81,373
951,527
269,419
316,511
222,501
362,738
963,783
272,709
458,485
534,529
542,564
559,507
836,920
308,925
775,736
774,747
715,683
947,817
963,928
319,269
403,275
490,522
497,440
464,441
595,678
296,640
138,793
70,267
238,150
214,151
323,663
345,653
407,629
951,737
891,746
701,912
688,917
744,301
351,622
364,600
347,617
877,928
474,950
909,423
433,657
754,750
836,798
383,636
413,606
433,636
165,508
882,886
364,55
454,82
258,559
222,495
330,547
945,906
822,980
963,595
688,425
721,526
698,526
836,566
722,705
136,662
612,612
402,771
857,738
865,852
717,297
589,527
675,713
879,502
762,305
712,341
685,404
681,437
755,485
512,757
833,723
824,537
693,899
801,901
882,883
391,393
700,876
695,333
783,467
819,461
913,610
948,657
899,726
861,815
918,318
122,492
339,571
333,567
49,508
120,774
122,840
157,881
900,873
624,575
647,597
494,612
907,357
72,74
628,411
663,397
660,493
772,324
652,659
761,739
653,215
401,466
436,432
808,729
910,947
905,965
703,670
739,760
353,655
419,610
340,646
420,573
622,913
804,829
871,927
954,901
757,753
907,811
874,712
900,749
809,826
928,890
924,849
379,519
392,64
293,56
358,62
386,63
452,210
235,62
358,80
499,238
264,635
377,70
453,116
114,474
232,489
359,153
147,90
101,361
91,373
652,652
423,682
461,665
502,613
765,232
699,184
830,333
905,377
960,460
712,96
683,460
304,959
273,706
926,519
167,518
306,477
455,488
462,681
539,543
587,612
420,720
477,677
645,689
922,886
516,515
563,503
373,642
484,647
900,465
935,600
949,672
965,865
138,264
198,615
201,617
284,645
209,736
234,621
364,420
780,130
324,477
188,544
684,359
642,497
682,274
682,281
711,334
680,330
684,288
909,492
587,359
288,308
342,691
328,647
155,133
871,815
810,823
315,619
312,621
939,482
694,584
212,540
179,561
225,720
564,928
683,509
790,779
769,689
845,846
890,471
895,541
957,730
