x,y
883,178
368,253
654,92
784,332
53,556
941,297
281,929
391,941
430,938
375,53
464,80
929,196
473,727
550,662
566,155
109,625
439,834
963,521
544,561
577,943
524,59
429,299
468,314
340,87
339,83
109,242
261,739
217,732
717,372
949,462
825,98
838,107
797,233
899,204
175,674
905,247
474,318
104,497
515,499
482,485
528,166
740,245
935,299
52,649
252,780
401,473
413,483
411,441
512,546
56,743
185,778
168,935
622,959
468,495
562,434
568,391
478,427
757,723
83,628
86,813
421,721
487,658
514,53
957,295
222,599
242,662
170,664
346,587
475,618
486,689
960,655
470,656
574,902
697,579
927,648
764,815
852,872
895,853
367,794
914,848
301,626
469,424
461,480
422,493
530,508
612,564
493,628
125,769
642,154
920,212
938,334
319,428
525,58
672,102
888,249
392,531
839,102
594,458
120,673
294,410
182,484
93,205
582,531
557,900
392,628
433,655
458,647
348,372
552,663
578,542
678,656
745,717
733,791
597,951
555,961
408,691
428,749
772,61
248,607
362,636
305,641
49,638
92,709
257,597
843,158
92,500
423,307
395,519
161,835
921,466
758,511
117,840
931,200
814,186
791,211
584,577
718,208
790,306
929,526
379,831
418,269
417,281
606,244
946,426
931,610
931,651
886,348
240,595
904,241
734,350
872,508
821,232
688,501
677,448
679,436
697,534
695,179
824,486
826,219
605,626
144,526
232,453
229,751
117,634
100,673
82,610
71,758
524,87
499,427
613,623
575,448
568,472
924,703
660,626
695,546
947,268
600,592
364,615
132,103
134,90
544,97
587,355
450,418
557,459
558,126
569,503
899,144
527,672
437,478
925,284
687,274
249,898
496,91
807,134
631,171
520,541
292,935
685,402
509,845
536,241
242,922
780,126
620,641
710,695
320,958
748,345
675,110
186,405
634,434
691,708
655,869
692,918
116,736
900,300
554,553
211,878
540,135
188,891
573,586
725,213
824,172
757,428
597,761
698,342
517,806
590,876
496,958
543,952
665,634
623,601
700,723
677,770
585,824
878,843
881,836
907,927
882,887
414,701
265,696
499,431
547,922
308,427
680,361
235,607
256,732
800,462
932,249
646,603
152,374
661,473
575,575
685,308
733,595
376,417
251,733
441,906
328,708
351,705
314,718
922,440
534,838
560,840
205,639
190,905
220,918
182,868
116,472
680,303
