x,y
949,406
565,538
581,607
634,595
655,360
680,464
742,367
584,183
532,574
903,144
812,77
780,65
694,370
865,212
875,219
929,269
442,539
445,523
392,628
388,502
568,594
392,448
446,485
399,492
957,322
748,710
763,666
803,223
650,503
537,595
86,131
301,932
748,363
622,490
774,663
736,767
795,760
597,595
757,512
456,486
507,396
651,434
679,451
798,520
514,78
515,60
952,280
457,628
521,594
727,370
564,692
567,688
574,523
474,524
331,961
617,565
484,192
544,55
788,515
612,658
629,643
690,489
611,623
474,534
621,594
588,581
817,187
952,324
926,243
464,482
365,897
349,922
497,912
463,518
489,186
579,151
523,956
612,532
539,524
828,513
832,135
460,960
502,495
496,469
213,645
604,566
409,485
816,364
880,492
758,676
754,378
737,339
763,249
743,317
466,952
282,785
622,903
404,840
775,379
731,365
825,545
577,466
542,483
297,897
914,216
916,224
659,298
583,584
963,466
577,599
152,856
55,322
69,423
83,276
561,241
917,616
476,729
495,948
720,213
259,551
244,758
693,676
847,116
939,572
122,827
790,476
112,757
709,332
737,595
224,807
755,312
359,785
756,591
831,571
840,764
732,701
772,724
631,597
572,507
961,288
965,312
477,544
680,678
647,650
602,614
564,595
677,711
525,956
551,966
690,908
713,917
817,488
548,533
525,581
216,872
528,458
552,498
565,501
589,415
554,445
573,340
571,479
68,272
62,332
727,220
940,423
581,414
491,437
527,385
531,386
601,320
255,782
493,467
462,659
482,622
534,562
185,881
678,164
604,76
678,104
255,950
529,601
513,612
247,697
308,955
506,485
524,912
611,439
317,542
177,509
171,510
260,638
76,448
325,639
569,464
733,334
751,377
682,678
569,520
472,619
111,773
365,912
775,122
266,711
185,812
621,958
343,746
338,722
215,892
358,957
640,419
647,417
578,565
523,948
963,316
942,325
533,486
322,607
224,505
714,373
762,312
770,309
829,326
680,228
752,272
849,339
653,368
548,518
951,347
702,318
494,114
450,171
630,615
743,789
719,790
788,724
817,255
843,804
572,508
387,882
401,928
477,511
271,931
86,840
719,339
566,825
531,924
427,748
655,499
838,496
251,777
251,768
404,724
682,460
676,446
558,561
586,601
851,188
491,607
951,231
933,272
889,142
382,938
462,951
471,940
514,948
782,488
796,464
685,655
623,494
571,537
607,450
397,758
611,511
543,667
553,597
489,632
694,616
550,694
254,781
804,214
823,337
829,333
906,328
845,355
956,284
750,105
503,486
539,549
574,342
513,463
542,521
326,959
523,776
540,55
887,133
323,944
507,490
155,582
244,665
778,384
160,803
525,395
573,387
491,340
523,51
459,503
477,478
499,424
951,267
699,507
808,524
187,897
318,955
571,513
605,607
438,962
553,435
520,63
501,64
463,448
481,480
557,556
558,591
290,957
221,896
247,916
192,854
391,884
362,328
330,260
275,953
580,603
592,356
464,859
406,844
400,857
566,527
775,430
707,357
623,392
644,926
951,537
860,649
364,616
442,216
419,346
587,593
687,91
609,150
672,119
402,376
521,501
956,302
927,280
607,744
285,694
363,704
652,674
668,291
699,319
669,276
603,590
883,171
816,211
592,306
486,457
565,443
582,392
558,531
512,74
317,932
598,561
652,655
386,960
288,938
392,899
370,842
243,653
728,362
388,435
256,904
456,504
438,592
606,428
678,453
455,472
175,884
924,202
882,173
849,222
943,345
759,292
770,305
567,581
693,501
676,502
693,357
627,388
747,377
578,427
769,130
959,288
246,949
352,592
609,397
905,492
917,484
532,408
332,961
524,906
485,457
609,639
706,538
683,497
532,908
350,707
813,663
588,520
683,304
607,315
781,381
693,456
294,787
399,855
644,689
621,923
853,94
137,798
66,534
121,516
514,471
446,538
594,370
635,420
548,486
810,376
927,432
852,342
613,515
624,517
453,539
401,916
670,62
595,345
629,255
871,178
611,562
604,955
681,933
600,670
932,261
159,583
612,237
729,235
600,313
656,240
682,283
594,444
501,477
274,903
761,393
635,57
722,111
580,594
646,617
365,403
434,837
415,864
764,745
520,501
574,852
549,716
949,297
155,520
115,622
130,643
486,949
308,958
588,58
917,174
655,378
659,365
510,49
899,159
53,663
581,341
849,221
821,124
678,164
323,504
404,925
626,370
581,460
557,589
209,918
144,906
201,942
331,942
427,758
848,156
211,648
92,819
110,822
791,277
759,295
352,695
133,530
308,790
457,434
722,509
588,338
131,806
716,161
846,197
913,198
783,425
273,701
425,739
536,475
585,602
959,285
701,318
325,928
601,454
750,350
686,356
630,412
782,279
733,220
573,417
546,400
531,371
218,606
955,450
906,521
691,562
945,607
900,463
395,917
833,561
939,549
950,474
145,652
363,59
396,52
371,53
359,147
614,740
636,643
611,606
533,517
646,614
609,557
660,378
378,936
489,948
570,711
497,440
926,304
616,597
486,669
572,693
501,679
423,681
656,500
421,958
366,96
447,81
174,928
900,481
440,639
330,960
369,943
512,497
533,538
542,522
682,652
711,339
766,291
842,329
655,647
58,542
901,435
399,901
665,279
658,319
792,422
809,71
842,125
640,503
180,841
688,337
768,315
708,349
587,242
943,464
708,350
671,363
577,52
632,141
528,532
942,417
618,369
560,579
479,450
273,889
625,150
652,89
307,417
540,454
563,429
506,943
506,611
614,566
536,323
560,334
567,326
477,457
413,484
433,926
511,768
536,234
556,376
641,400
761,388
577,366
348,69
545,590
645,388
667,408
655,479
858,380
650,482
507,531
595,590
748,520
166,849
304,935
591,362
598,321
709,383
451,502
754,248
660,319
406,583
925,318
408,778
120,738
682,356
749,336
300,806
255,769
301,903
340,905
126,774
694,64
585,317
434,477
487,489
577,534
963,504
