x,y
890,261
571,934
630,662
760,739
908,549
911,657
813,708
941,912
368,359
750,348
800,310
833,181
872,137
911,237
608,293
425,759
766,315
942,481
454,912
648,423
681,334
497,477
689,315
818,483
942,463
617,572
791,465
914,505
707,371
487,479
552,522
760,398
921,408
866,340
834,338
848,335
482,449
507,413
552,501
572,613
678,510
890,190
951,560
708,681
723,748
727,752
781,896
916,181
630,421
783,415
607,624
964,312
259,924
675,327
689,362
633,590
678,717
793,254
764,246
559,374
193,778
221,875
67,813
942,497
661,363
658,371
546,357
795,513
685,418
672,485
721,753
709,744
679,702
675,713
685,401
740,328
820,220
542,557
891,223
894,188
97,609
531,496
189,564
280,867
726,197
895,140
891,268
919,361
892,355
956,372
718,383
707,366
917,172
603,389
436,589
649,387
620,443
536,457
797,292
783,417
769,419
508,665
101,791
520,504
948,470
488,529
608,530
690,730
835,460
634,380
545,383
526,519
544,372
454,448
607,400
625,607
837,87
877,144
579,381
577,389
942,548
270,888
268,717
621,388
685,497
654,392
697,552
703,347
849,343
846,408
437,954
105,628
735,372
302,959
846,221
914,272
578,597
961,290
963,362
793,391
610,529
636,485
632,584
746,794
433,595
161,367
618,425
615,430
494,421
362,405
772,313
511,416
279,642
730,337
722,344
772,376
207,861
227,916
821,519
794,266
882,166
599,372
128,804
57,750
685,449
467,297
903,207
474,478
590,543
752,273
364,628
575,458
686,419
621,640
931,643
592,565
673,406
651,486
585,176
836,157
606,558
289,957
489,621
899,202
799,570
797,93
515,924
388,925
410,929
531,951
586,665
455,448
500,483
750,279
728,235
738,227
696,209
821,245
885,349
735,529
526,572
478,484
87,821
157,891
169,912
265,954
531,65
447,88
636,391
898,402
703,713
877,202
383,865
343,960
623,935
855,219
830,446
957,355
752,93
930,302
615,667
171,856
791,321
808,259
786,224
771,301
785,335
767,282
853,366
590,782
782,444
431,912
796,445
529,658
561,241
593,316
595,516
332,940
329,922
232,945
453,460
282,706
242,261
854,323
603,321
940,335
559,416
696,464
684,538
681,268
750,156
421,860
463,896
579,931
792,535
535,374
511,323
529,365
425,934
908,151
937,243
899,498
945,453
896,467
938,467
754,392
901,476
564,440
487,623
257,745
302,902
314,947
777,337
787,411
950,259
949,357
934,299
476,672
414,564
741,474
584,535
774,259
958,382
900,414
93,705
434,575
101,756
230,755
710,393
622,273
783,487
351,789
690,391
832,224
605,297
826,509
821,590
765,564
580,690
476,852
328,898
703,362
543,63
589,77
661,59
662,66
253,442
206,517
172,454
171,415
794,379
811,163
485,438
554,439
586,418
630,489
762,306
756,262
288,956
689,438
761,270
782,487
820,149
391,447
763,379
766,342
920,199
748,361
559,467
749,237
642,434
602,374
684,649
684,446
735,334
765,366
764,404
802,278
506,536
685,699
694,617
688,690
691,650
715,698
673,443
755,461
228,899
626,378
651,409
532,481
692,406
703,382
677,450
669,441
597,681
964,507
686,447
708,348
709,397
