x,y
76,707
60,750
710,58
63,775
644,430
464,490
617,655
930,386
905,237
914,209
79,490
815,190
495,599
917,240
113,897
408,429
683,595
897,147
833,206
55,689
782,107
473,432
586,404
145,819
114,760
785,88
691,86
702,101
732,69
781,131
200,888
77,700
53,715
307,615
421,482
752,295
129,809
102,725
417,417
519,99
409,454
422,433
893,147
813,96
333,906
479,609
259,698
771,116
703,60
715,56
774,68
119,710
801,125
480,551
894,648
559,448
622,508
74,694
56,739
393,424
426,448
76,731
452,499
383,523
394,593
766,306
895,136
66,756
66,737
52,697
681,81
69,755
281,912
327,905
923,192
207,814
620,571
569,472
530,719
743,61
655,55
409,463
942,228
921,369
318,698
339,715
779,321
791,255
438,407
706,128
692,58
548,230
683,89
752,66
469,519
341,416
724,229
89,740
919,239
955,295
249,902
893,376
798,77
796,135
818,85
93,724
59,733
723,207
754,65
818,246
909,159
833,160
803,204
871,113
390,853
901,297
268,885
254,909
94,769
751,224
712,85
105,743
187,818
412,428
67,617
349,945
322,838
711,55
729,73
104,748
98,774
252,934
255,884
237,887
126,814
88,723
552,60
106,844
508,330
487,244
424,851
142,814
780,93
471,82
261,772
519,509
709,82
798,219
87,768
890,157
89,754
140,915
559,527
721,59
669,114
906,168
232,585
188,438
787,417
569,417
486,427
168,429
909,189
442,419
473,502
431,420
447,442
62,796
951,276
130,898
74,444
533,522
611,419
577,348
627,411
817,131
48,485
572,461
787,227
577,87
527,524
504,519
473,86
891,258
698,64
607,56
738,250
429,483
589,230
56,724
253,577
497,412
755,456
572,508
786,80
393,449
151,818
943,221
743,60
708,68
823,112
733,115
792,112
82,706
68,663
124,665
935,224
705,67
954,272
940,373
934,375
733,66
722,99
800,191
782,90
319,512
771,75
407,427
535,557
688,70
438,307
333,837
513,850
578,368
754,63
329,475
207,947
758,61
918,174
693,444
151,841
764,68
184,675
715,111
482,515
789,132
776,129
686,70
730,98
116,770
593,381
418,460
539,404
795,127
554,499
686,472
685,493
563,489
781,72
727,62
190,674
112,489
637,92
77,700
897,455
663,473
446,322
566,565
506,464
542,158
113,582
446,326
86,780
425,432
799,79
384,912
826,168
423,447
84,564
601,556
427,345
384,395
885,134
792,139
220,717
438,318
210,874
590,282
600,374
607,334
194,768
183,877
51,709
737,59
700,56
166,912
772,471
757,359
469,921
79,706
123,806
51,669
450,472
416,463
325,656
890,229
362,595
418,583
802,203
794,132
756,300
329,670
374,608
245,884
234,796
527,352
107,845
751,96
653,63
753,69
711,57
523,356
410,393
841,166
419,454
556,81
59,680
734,136
215,732
174,842
726,61
684,55
814,157
215,492
80,731
419,423
839,172
727,509
959,425
942,487
444,488
64,746
80,723
51,567
87,767
208,877
285,956
433,467
385,348
687,291
660,297
567,500
689,56
701,73
730,101
76,693
65,752
790,75
417,415
699,180
100,785
170,929
89,754
380,426
325,421
87,758
66,808
375,414
113,828
294,838
807,237
454,447
470,557
512,540
381,395
528,962
155,827
