x,y
557,482
741,81
738,300
634,366
472,456
770,74
531,339
364,346
550,591
282,823
220,916
434,450
429,422
656,76
166,929
374,400
855,92
733,84
147,849
420,420
833,158
789,77
84,718
738,85
758,97
494,551
816,116
475,508
775,78
570,466
820,123
833,115
775,117
705,400
713,383
129,780
769,67
874,119
857,210
435,433
773,414
101,700
580,330
308,788
440,411
821,145
239,789
55,715
662,430
52,638
489,453
874,154
388,514
742,239
796,271
697,58
112,798
875,123
669,96
261,779
539,473
79,743
52,569
797,134
910,265
343,610
239,880
856,329
844,98
196,779
500,536
946,234
767,82
381,627
375,607
472,618
399,416
83,655
783,131
910,183
747,69
727,62
809,87
751,61
86,783
156,802
745,345
794,392
778,388
734,81
693,61
737,63
71,838
87,678
797,127
285,824
421,734
439,485
471,493
836,546
669,355
429,442
175,814
105,717
109,752
841,146
160,872
98,738
173,855
731,325
473,625
107,791
778,103
431,460
699,75
53,710
92,710
559,236
762,115
874,133
704,71
748,103
104,714
246,881
751,377
691,92
691,60
707,55
52,694
935,198
708,60
722,60
220,933
872,129
406,422
671,82
63,745
548,100
526,287
489,313
596,320
538,487
873,151
720,376
56,738
83,761
61,694
439,439
531,562
464,453
481,472
800,77
555,490
108,829
450,442
629,139
512,540
803,198
729,66
765,118
431,429
693,56
372,926
515,415
932,237
106,730
201,550
72,749
910,176
877,201
790,72
146,798
890,259
693,58
263,930
860,174
894,235
299,785
51,620
849,106
813,378
121,806
934,190
809,217
714,183
640,159
449,543
159,850
724,104
533,639
504,661
431,692
917,204
261,630
541,482
838,118
159,858
712,241
665,310
470,346
89,768
432,426
472,452
231,885
212,878
744,64
848,105
750,75
928,380
512,576
98,746
718,180
842,182
70,620
256,622
206,656
240,656
87,779
379,435
298,627
330,789
672,617
436,446
53,691
59,676
384,377
187,513
778,127
699,106
754,65
174,898
719,165
773,61
745,323
858,113
415,424
829,505
764,404
738,479
611,399
853,163
758,67
123,825
605,506
483,949
391,893
564,482
222,899
815,193
141,669
575,442
738,89
748,255
65,761
505,613
648,318
637,230
419,865
376,854
145,830
60,760
769,69
443,490
414,438
959,404
921,317
913,294
335,509
694,502
102,691
212,909
83,787
73,632
109,486
253,889
122,789
595,302
148,801
670,332
543,460
517,389
838,163
446,484
103,801
640,366
716,59
761,108
797,86
327,582
562,184
654,380
779,130
64,693
163,668
773,439
461,427
309,825
71,779
66,786
109,882
118,710
87,626
782,290
440,558
533,361
113,786
825,81
608,567
523,464
170,829
140,826
543,376
413,452
89,763
79,719
77,681
809,266
715,329
564,243
54,717
67,802
586,460
703,354
416,433
618,269
633,151
688,119
738,63
62,723
219,563
108,740
523,573
688,63
57,663
298,646
492,527
59,680
375,909
361,950
315,537
875,138
417,463
496,459
784,75
53,708
745,91
464,445
331,468
72,703
913,223
689,342
831,125
805,89
196,927
423,456
758,73
868,103
55,736
800,121
729,60
709,77
120,782
801,156
734,61
692,55
469,483
270,884
51,705
810,166
792,148
735,103
731,242
723,191
432,126
743,108
789,88
217,929
910,245
631,176
779,93
939,218
79,742
753,86
504,475
668,223
409,351
959,283
816,144
841,184
168,846
232,687
725,62
466,552
849,151
240,618
180,675
189,690
92,814
64,735
872,370
742,70
646,232
539,227
525,94
726,117
717,59
518,63
512,168
264,947
760,77
289,957
825,171
412,673
651,432
74,569
442,466
117,771
740,78
58,448
64,742
729,100
101,616
64,519
729,87
146,673
263,501
802,382
891,137
428,239
687,75
822,216
704,351
676,63
83,807
810,87
243,758
801,273
240,589
179,825
664,286
455,501
649,68
178,554
375,433
230,878
509,228
573,507
484,451
592,355
146,818
273,910
765,94
100,784
123,805
555,215
405,443
709,398
579,964
458,963
816,95
819,75
747,85
424,477
165,636
92,464
771,139
95,879
84,857
851,100
526,377
613,447
712,60
727,76
467,535
710,61
398,416
440,541
876,117
728,217
871,120
301,818
484,425
87,764
685,447
472,449
901,311
69,735
582,522
51,676
499,258
367,249
79,711
49,634
431,419
766,753
286,770
71,805
53,699
79,785
346,845
88,743
341,411
386,946
271,401
229,416
319,295
736,378
94,700
433,455
287,648
396,523
238,561
142,589
723,59
778,284
230,587
182,570
119,503
899,567
922,179
120,727
363,849
209,928
234,930
445,430
377,949
65,640
717,58
658,69
76,708
734,144
411,433
385,441
893,364
503,399
85,737
112,808
77,598
420,730
743,64
137,814
706,54
53,709
492,474
433,457
709,107
725,202
480,785
260,786
290,808
651,172
706,55
812,174
825,106
839,104
479,484
729,239
112,765
311,698
337,569
423,457
791,263
602,641
476,467
709,444
66,753
714,59
728,64
702,344
813,83
816,171
411,423
119,872
385,442
485,648
385,439
244,525
66,467
253,642
578,404
593,368
739,367
531,451
445,558
500,764
449,784
247,790
95,740
459,109
840,90
636,101
760,62
527,392
114,712
760,72
943,214
823,242
756,142
484,523
199,525
80,729
251,932
229,924
284,923
580,68
614,82
509,115
83,704
77,734
517,178
388,503
876,196
529,455
111,807
411,858
776,373
474,508
607,965
134,786
736,82
483,495
147,800
565,527
469,455
413,746
102,702
636,294
109,330
284,773
214,713
169,662
953,315
73,738
417,436
130,877
159,852
58,755
71,775
287,892
92,610
656,367
499,602
118,804
769,83
238,446
259,736
803,124
511,508
153,888
64,753
476,478
478,510
533,360
750,278
729,169
601,170
534,355
298,53
616,235
671,293
963,344
963,344
777,447
94,753
702,175
208,557
54,702
734,65
558,565
109,856
682,89
219,811
770,255
536,456
580,89
467,70
798,100
819,88
235,536
277,869
407,430
588,389
449,51
109,857
238,904
209,914
704,87
564,328
716,87
447,62
444,780
847,143
403,449
689,459
72,730
626,645
185,852
870,114
363,587
115,820
163,924
755,114
461,320
52,717
850,145
59,770
89,829
112,694
828,342
601,372
405,465
269,664
468,674
126,791
361,727
388,784
388,776
385,773
430,753
231,689
407,645
97,701
144,515
229,693
761,223
202,944
196,775
72,808
845,132
327,786
78,710
49,498
404,447
705,55
204,855
323,942
746,62
316,690
61,750
477,465
825,118
418,435
900,157
653,277
761,116
769,95
748,123
749,62
857,159
126,670
68,740
56,744
877,197
832,221
786,118
88,783
815,265
53,618
180,551
808,244
461,322
202,899
946,268
855,438
700,69
651,110
600,88
478,188
555,528
401,613
65,778
711,82
749,62
491,80
440,56
189,898
121,796
582,100
64,700
460,506
146,800
95,851
56,724
826,113
56,732
96,724
442,430
878,149
417,455
787,133
500,66
367,772
609,384
617,378
760,63
156,810
100,727
861,219
253,637
279,680
524,553
323,411
733,64
510,584
378,621
455,454
589,282
553,155
383,422
163,810
227,697
210,743
393,358
483,477
554,494
814,107
725,58
752,364
774,124
870,343
400,683
935,218
642,122
706,150
533,90
52,303
356,929
707,213
556,519
755,256
374,417
584,66
409,445
459,556
492,444
521,563
251,506
568,516
124,800
684,458
173,854
391,900
440,862
541,283
647,221
362,327
605,76
67,782
732,133
81,740
425,464
331,598
235,533
88,413
801,300
57,735
617,509
889,130
754,342
711,340
417,477
710,88
495,420
866,127
54,451
202,807
125,813
746,249
780,299
869,102
636,58
56,720
963,309
446,438
322,423
859,336
898,232
702,86
623,506
655,481
576,383
347,406
941,213
860,189
130,778
127,795
49,587
207,876
194,808
742,64
727,68
722,58
516,515
69,734
290,790
275,913
431,692
526,59
533,82
630,55
57,744
885,197
503,115
795,481
441,109
480,435
479,420
792,199
245,887
202,817
535,681
180,939
724,371
742,86
450,473
465,515
469,502
60,783
721,113
779,124
93,833
104,691
416,455
460,463
390,907
349,787
705,65
350,521
56,716
437,420
424,398
329,678
654,385
795,115
525,158
326,309
327,559
351,634
595,165
730,59
689,62
59,723
55,695
201,758
746,236
714,207
233,944
440,453
176,793
64,604
533,724
57,715
737,67
486,311
503,471
431,479
68,753
480,468
403,427
290,825
679,356
