x,y
577,700
576,685
612,649
883,810
868,884
642,602
546,481
936,329
438,323
238,691
214,552
409,611
238,713
238,653
186,519
643,624
787,741
436,686
252,782
747,307
838,335
684,421
453,422
368,358
636,499
627,498
55,372
68,400
101,341
794,766
876,909
413,739
395,750
411,751
416,741
668,478
264,766
333,785
284,799
551,907
518,962
413,927
483,938
715,959
641,930
288,681
340,652
225,645
239,557
113,800
546,566
771,127
709,115
590,248
691,561
843,195
284,700
396,587
878,790
524,670
643,857
437,488
363,588
344,849
199,845
193,874
737,792
669,414
567,525
633,500
319,679
298,671
406,626
357,617
340,573
252,280
60,496
122,189
151,134
121,214
267,181
72,444
93,280
366,339
247,330
260,422
76,135
84,39
481,86
348,905
373,836
627,635
658,599
797,264
865,170
761,88
761,97
754,235
305,298
688,435
404,412
620,412
646,950
580,915
609,371
534,442
320,245
442,492
781,723
603,412
465,426
378,395
433,339
380,388
420,388
180,276
165,250
148,253
114,138
116,76
92,64
475,779
536,946
720,872
707,359
695,376
728,615
721,380
810,334
773,321
889,347
862,354
825,232
814,102
80,601
483,609
452,591
303,615
411,488
681,208
708,502
692,527
298,634
296,695
620,618
284,775
251,882
955,540
465,872
405,848
485,626
440,89
555,959
555,528
603,612
569,690
605,629
957,340
893,170
812,155
827,221
550,464
473,347
404,501
496,488
415,313
299,63
232,279
129,102
58,34
891,660
480,918
68,225
63,338
72,498
128,177
138,96
87,43
101,137
109,139
913,398
961,528
945,610
358,704
360,738
374,599
371,725
681,326
510,407
306,561
323,514
290,690
686,587
713,519
746,526
716,531
288,100
935,623
873,738
911,750
196,535
175,439
187,398
177,359
754,899
755,910
576,957
524,964
433,919
551,544
326,522
328,470
322,488
302,503
321,547
897,840
884,869
469,783
650,60
298,690
254,694
214,731
253,626
121,750
401,501
270,671
239,639
383,380
345,262
285,263
274,501
899,620
931,536
917,682
943,630
904,711
471,500
477,513
707,725
825,865
861,852
884,846
445,587
924,950
829,816
873,896
844,801
316,791
589,886
731,672
602,386
630,390
312,637
238,733
106,802
89,146
636,235
658,310
513,217
368,232
286,933
845,530
343,576
663,913
681,907
619,923
752,259
765,781
425,698
332,54
167,809
335,617
850,835
870,826
480,86
434,69
851,868
954,637
894,593
863,481
647,644
428,345
773,948
786,885
940,835
753,809
322,647
699,901
719,365
712,588
683,610
680,434
711,895
898,570
939,813
897,811
485,684
311,797
472,896
586,791
430,492
874,846
407,425
500,463
467,460
570,959
695,948
571,905
523,822
424,939
427,953
389,867
398,751
404,779
938,388
252,621
230,547
380,241
293,259
164,79
168,114
163,81
318,59
891,536
779,519
741,701
645,293
416,689
420,774
429,701
433,672
695,753
715,854
630,780
54,742
259,635
871,848
341,682
63,617
97,432
340,92
405,693
662,291
654,301
313,665
243,720
224,738
137,171
118,308
105,320
93,850
317,639
423,927
193,568
247,529
902,656
376,630
286,632
380,590
315,648
415,286
334,383
197,95
628,965
526,936
236,721
222,715
440,659
425,645
426,624
342,96
302,124
655,429
629,400
615,395
543,445
196,935
491,497
456,775
47,575
74,537
50,439
65,558
67,342
681,424
323,702
444,460
550,347
520,348
403,337
349,211
251,445
456,503
171,451
109,324
51,312
241,648
238,644
226,713
268,658
206,622
667,388
686,275
916,417
667,289
710,610
704,664
696,585
663,702
108,471
92,423
68,449
71,99
609,600
419,710
273,295
254,280
327,672
320,652
299,641
123,130
250,641
306,622
963,416
407,646
289,626
208,533
216,735
571,930
936,496
934,682
949,523
313,617
719,385
655,403
694,493
357,636
61,773
108,775
65,780
712,805
837,724
756,774
586,682
495,677
333,567
361,515
427,484
413,502
741,704
333,390
357,335
245,348
263,492
225,490
383,631
565,328
552,346
501,226
124,667
237,178
225,58
173,331
96,255
119,231
60,97
347,696
493,727
194,528
769,463
494,960
292,929
476,623
483,610
487,599
451,553
352,372
355,328
361,367
111,58
161,174
455,437
564,462
406,64
289,56
634,368
709,503
412,470
300,326
753,930
244,686
405,484
528,513
594,961
705,868
522,925
594,699
215,243
797,133
299,217
135,214
53,250
57,456
258,163
248,91
232,130
93,47
282,215
404,458
905,656
135,645
80,584
391,396
346,378
347,363
106,331
117,349
83,393
714,340
813,259
398,631
719,593
758,695
884,928
804,956
931,910
430,419
593,279
153,164
394,573
854,703
647,318
697,371
595,380
165,834
490,773
309,815
275,792
199,785
188,410
104,390
115,312
390,92
348,52
255,39
298,49
197,73
670,388
324,663
258,585
734,185
598,110
554,129
254,551
360,419
702,726
358,707
334,610
450,688
133,137
645,310
431,66
294,288
291,684
327,732
347,730
387,939
660,307
98,390
261,57
269,56
297,264
688,405
312,315
390,246
401,377
159,153
106,195
126,269
137,223
148,164
101,201
626,670
428,480
326,451
971,772
414,318
226,279
258,240
239,250
302,196
178,254
338,591
330,570
312,645
149,138
154,95
275,903
600,965
783,466
640,418
699,381
412,687
360,583
330,527
943,428
531,561
690,522
424,331
486,345
385,515
807,192
685,112
90,300
59,250
83,444
95,175
57,134
786,752
668,425
71,552
98,537
308,148
227,252
311,184
282,293
73,103
257,629
237,638
188,139
152,136
165,147
205,124
89,68
492,415
468,441
588,816
564,809
538,804
312,833
678,350
688,386
605,742
625,773
624,653
156,175
679,607
950,588
937,660
952,594
812,247
339,212
333,717
680,351
168,662
260,252
712,387
730,330
678,226
194,114
140,101
973,765
924,653
930,749
97,439
175,328
79,269
60,306
466,872
477,769
332,564
192,661
406,705
742,322
662,311
392,497
342,585
759,418
829,526
605,292
543,657
647,624
853,868
873,913
945,705
910,616
895,597
747,977
714,946
513,117
284,331
253,196
137,102
168,60
176,63
77,99
381,629
367,633
259,674
83,701
296,644
286,703
710,715
283,313
229,168
248,226
895,721
947,705
895,800
906,526
902,501
396,516
630,949
452,501
541,500
247,604
500,469
511,526
523,159
513,497
130,515
122,501
597,89
555,82
274,641
62,255
101,327
181,124
321,186
469,892
425,707
235,642
764,395
704,450
688,441
328,569
454,504
427,698
245,109
253,72
110,139
717,362
152,918
914,392
842,515
466,675
402,685
98,751
731,332
682,356
660,314
888,144
841,108
737,355
274,77
139,80
69,61
60,92
740,682
348,627
866,926
918,880
895,877
896,940
845,952
912,871
529,406
682,362
255,115
102,554
930,620
955,621
889,756
897,742
874,760
97,641
284,79
157,43
941,567
818,112
934,418
597,683
347,371
304,651
270,649
329,284
286,679
885,921
878,905
704,337
498,453
401,238
694,390
836,901
755,473
795,404
760,393
761,440
138,152
776,218
818,932
493,834
346,845
308,945
532,501
564,454
579,388
577,330
763,378
721,339
682,322
511,409
487,496
144,221
526,576
464,465
521,530
580,394
542,544
575,377
596,311
926,684
421,735
335,698
484,495
488,683
900,450
897,450
902,412
912,231
62,651
74,482
754,268
724,226
730,245
544,483
597,587
363,351
91,831
630,594
60,393
629,495
479,63
411,147
412,127
225,49
220,53
239,66
240,97
246,138
867,439
714,324
706,175
658,391
630,509
756,362
472,776
60,709
438,474
493,539
924,877
948,702
532,671
923,659
275,269
233,298
167,205
259,38
621,108
242,197
54,109
164,127
467,643
380,615
429,693
480,756
341,682
388,859
409,480
454,424
367,778
600,330
169,156
107,78
180,152
224,139
191,187
524,515
585,608
730,318
770,447
490,661
599,508
635,499
528,545
681,722
606,941
863,849
962,583
848,527
781,760
807,899
829,630
870,871
909,832
602,236
520,807
549,936
779,438
474,862
601,708
937,643
726,750
696,705
755,721
456,934
575,693
360,727
619,754
635,583
943,812
918,821
251,569
174,576
167,706
742,674
362,409
889,806
372,387
325,319
289,312
210,247
317,667
480,466
904,941
269,640
286,127
290,116
293,189
120,283
232,177
64,171
121,92
272,414
263,492
792,656
736,596
370,588
403,456
502,407
264,403
322,647
284,692
51,501
396,689
494,547
335,657
423,720
398,695
108,778
90,392
316,163
455,87
380,110
598,111
301,690
722,199
709,214
428,390
388,345
415,485
427,426
431,446
305,363
426,61
269,239
785,675
806,879
755,925
224,629
308,655
266,659
104,361
44,178
125,165
191,187
130,157
637,612
656,497
441,416
465,429
634,914
624,102
500,407
371,413
592,456
71,309
94,397
76,487
279,697
390,393
430,450
453,454
108,234
312,693
166,696
193,700
203,123
83,57
328,725
336,729
632,967
608,942
637,73
895,780
335,730
363,721
341,683
198,690
463,174
775,742
729,753
903,867
511,468
427,555
582,399
742,671
692,677
656,641
743,568
149,243
249,216
129,104
305,634
322,551
640,492
376,633
381,618
148,103
115,160
117,84
94,140
125,171
865,834
942,858
341,693
251,669
248,644
53,471
327,725
314,731
212,739
475,963
218,566
130,273
178,232
138,121
639,656
669,708
660,698
637,683
510,541
499,540
377,422
375,425
148,350
163,346
193,218
356,624
342,647
174,791
284,242
178,180
86,148
260,102
316,91
553,551
447,442
808,763
808,843
829,861
921,883
289,659
826,720
913,668
940,749
872,814
815,796
375,641
352,685
450,521
488,552
266,111
275,81
297,126
164,124
527,580
485,605
559,487
588,560
576,424
366,167
688,717
60,419
402,522
256,441
232,276
121,244
287,71
437,575
707,376
636,410
593,388
604,900
452,900
259,268
321,848
429,419
444,431
930,613
114,772
495,825
944,933
458,62
471,72
609,265
213,257
227,293
245,259
225,628
234,111
285,164
252,266
296,201
310,275
189,216
943,581
958,401
576,463
339,849
95,276
77,117
673,370
220,342
62,89
58,54
956,284
867,208
840,185
625,121
272,709
370,727
344,741
272,488
191,408
591,296
499,423
594,394
640,60
516,275
623,420
145,151
478,446
302,163
167,221
171,153
238,682
322,53
81,414
61,389
495,593
435,621
309,414
823,749
507,917
903,974
949,955
264,648
313,696
560,488
667,333
630,587
514,937
517,901
601,892
615,922
430,866
415,602
324,318
667,645
440,684
323,564
322,522
504,515
794,661
254,706
277,703
223,616
149,102
100,65
479,724
508,573
293,508
594,670
683,706
452,505
444,631
486,628
268,715
488,507
423,712
254,641
677,711
909,816
678,961
610,911
771,328
437,409
148,277
152,320
145,174
153,213
583,672
467,451
402,369
328,594
269,658
387,612
408,587
343,613
277,683
448,70
235,37
209,41
179,39
80,131
168,193
447,666
428,625
468,273
301,410
297,352
335,92
764,664
727,777
730,750
743,722
730,713
134,643
168,483
182,396
131,109
350,728
56,309
125,186
139,238
178,406
177,476
404,236
129,165
157,92
744,246
744,251
348,615
299,673
260,635
332,317
388,348
407,312
273,195
704,348
261,546
322,517
393,496
535,80
116,270
55,184
69,166
48,132
122,91
349,581
410,508
382,96
250,76
280,231
273,704
277,774
339,742
397,869
258,874
138,171
235,705
415,672
474,603
459,649
120,299
76,202
127,142
169,109
168,103
303,688
716,388
250,650
360,635
394,643
194,531
243,542
134,356
88,91
90,64
302,646
340,580
234,459
383,116
491,413
141,525
328,599
482,527
180,468
181,386
175,329
48,314
102,239
386,55
866,817
824,890
878,857
900,940
213,546
63,394
247,63
212,83
156,144
108,147
712,377
315,442
360,403
53,308
69,180
127,216
365,718
358,730
317,735
362,720
940,670
963,400
697,487
321,727
660,317
486,75
400,53
323,111
934,636
838,890
186,480
47,127
115,165
830,700
355,693
255,738
205,641
851,859
836,760
344,542
321,594
252,665
828,447
601,771
526,397
430,612
432,589
314,617
313,621
605,429
282,506
600,70
100,201
183,118
59,171
211,924
226,775
171,444
226,549
107,76
122,61
179,69
223,121
638,648
721,781
274,443
575,617
528,559
332,469
442,620
443,636
432,630
465,664
672,279
638,288
643,290
661,313
553,357
197,790
192,870
152,868
289,672
262,712
85,758
181,304
249,179
101,78
125,134
183,804
181,860
116,787
515,848
358,91
420,61
735,163
549,56
407,635
465,673
820,481
616,934
584,909
559,905
322,659
364,628
253,629
210,826
225,205
225,204
206,198
172,185
144,181
308,672
290,681
523,164
264,261
479,113
421,86
269,64
64,36
209,40
326,264
187,334
151,199
288,679
316,693
353,620
821,849
812,795
800,506
861,665
588,730
629,687
926,447
414,678
454,441
202,394
112,374
72,325
63,348
108,393
414,86
348,589
164,795
263,687
319,688
90,267
498,199
98,248
113,454
84,453
295,785
269,711
259,756
272,785
62,372
488,655
305,645
354,735
413,334
363,602
373,524
273,57
164,64
271,107
129,40
880,809
418,762
415,710
425,692
340,797
276,646
489,325
733,319
696,350
755,268
328,732
332,702
340,590
476,737
410,763
345,53
442,54
140,113
115,143
77,131
130,108
671,444
620,500
629,481
495,514
353,715
684,964
912,475
104,377
281,701
50,213
102,182
42,218
407,574
202,529
489,587
534,467
481,757
400,873
283,272
259,167
234,159
218,94
135,85
33,27
652,848
194,774
535,518
214,533
255,553
755,821
573,685
904,506
939,376
861,363
498,56
407,440
481,544
103,144
135,77
336,597
334,566
356,615
396,585
531,283
863,373
515,112
318,530
495,545
791,901
849,703
693,876
503,512
452,491
201,104
137,102
124,85
520,765
775,675
647,656
557,908
610,558
628,909
628,903
550,930
580,845
599,396
424,644
315,639
290,690
352,389
373,630
321,673
237,643
241,571
755,318
210,259
243,292
162,237
490,682
563,462
499,487
714,667
685,635
729,324
687,487
752,338
774,389
397,624
301,690
346,585
404,605
367,119
327,70
276,334
76,336
194,503
224,629
415,630
752,74
220,189
94,142
390,521
367,597
377,596
904,681
532,844
433,961
327,318
112,184
699,403
719,368
680,454
63,299
236,207
206,289
244,270
208,271
182,206
581,788
603,422
542,375
462,328
759,348
749,370
235,62
262,154
155,43
245,141
257,703
324,57
947,682
173,61
131,69
153,41
316,615
71,725
488,867
505,855
720,761
758,883
803,916
896,850
875,897
719,803
773,858
133,204
723,937
252,680
934,956
923,929
490,909
295,554
344,726
184,513
326,333
313,337
333,327
776,981
273,651
340,650
361,701
150,206
256,114
274,97
195,102
484,930
921,849
292,686
210,743
403,485
530,522
526,500
516,510
457,667
551,530
354,898
757,726
682,618
776,531
356,725
350,725
357,698
342,607
357,734
317,169
449,75
381,248
181,261
664,283
680,61
162,91
959,609
366,893
379,867
323,665
304,643
231,635
209,558
627,674
636,671
583,684
102,77
764,125
856,106
843,201
922,168
914,164
900,636
655,937
413,775
487,763
399,779
582,551
621,594
734,338
407,461
270,265
220,759
246,773
102,742
459,851
681,962
343,628
355,633
503,399
581,402
506,507
676,80
