x,y
539,512
355,709
325,704
406,350
447,328
438,551
603,442
718,338
297,506
81,468
331,275
441,542
718,841
663,370
609,396
432,336
445,483
923,391
336,300
277,301
170,126
766,340
733,381
759,337
653,386
686,400
824,609
830,566
593,578
753,517
581,446
296,400
564,490
699,748
669,705
850,804
888,156
572,596
379,427
412,418
453,533
472,496
955,773
891,959
426,419
387,406
365,369
376,234
423,458
414,575
65,301
212,723
225,745
213,808
135,792
67,57
856,455
841,855
376,406
206,552
799,857
307,354
333,904
608,557
338,610
354,694
320,666
312,668
408,479
733,365
559,956
588,948
333,357
280,113
149,72
723,699
112,607
271,638
467,476
214,657
398,340
657,331
603,313
767,234
783,229
791,319
295,505
382,510
315,532
316,509
419,277
126,72
120,135
149,62
933,915
457,70
472,79
454,66
468,68
523,63
310,448
261,687
435,455
690,500
87,391
325,548
523,451
459,472
435,430
284,690
275,683
269,715
411,510
137,899
423,710
543,696
115,441
67,363
81,324
139,89
637,415
588,443
191,790
189,803
157,830
307,796
258,773
100,634
145,508
224,568
266,665
211,241
529,496
505,499
484,449
374,404
74,179
221,77
288,52
186,51
479,616
53,644
52,684
579,553
471,511
321,189
290,205
64,286
109,335
110,357
65,356
906,662
509,319
56,478
61,548
111,413
108,388
244,646
150,137
80,121
82,125
936,919
575,603
409,432
528,568
707,513
323,68
452,503
456,477
491,496
419,467
83,52
612,376
354,591
339,583
355,587
351,538
86,368
89,498
179,451
366,608
564,462
917,304
415,86
524,590
537,476
605,247
433,665
424,636
584,661
556,547
617,634
326,82
298,112
280,53
352,60
241,65
246,47
263,45
239,53
347,933
155,184
78,178
176,118
381,343
376,352
314,281
301,301
427,155
54,229
132,151
117,185
182,264
122,142
53,139
133,155
174,180
79,141
611,719
929,454
891,506
846,509
931,435
955,435
486,423
533,370
567,455
650,485
682,460
723,603
476,461
520,467
557,456
279,677
272,643
253,686
567,450
580,459
589,393
163,137
398,407
376,523
753,292
788,217
431,779
480,776
466,792
412,698
722,514
465,790
898,824
399,418
467,444
399,425
510,462
505,458
580,401
423,407
833,392
658,423
933,364
612,515
486,652
416,643
382,592
572,599
457,481
297,346
712,332
733,334
691,363
721,369
701,347
336,700
137,669
701,745
365,586
439,468
362,536
283,258
330,376
54,275
37,212
80,167
57,263
665,435
686,300
336,744
484,770
736,906
704,902
955,618
544,536
479,541
681,386
606,431
825,878
785,880
755,880
639,944
606,964
805,833
859,821
903,840
896,963
895,872
951,618
317,657
766,291
794,397
752,299
532,78
329,626
331,543
357,618
454,641
540,670
738,754
654,767
745,727
180,474
69,464
75,473
98,543
146,509
76,448
61,457
97,395
118,297
66,262
210,103
184,92
836,770
727,811
319,532
389,501
319,552
177,209
210,208
194,190
210,51
712,586
924,374
920,338
882,363
439,589
309,477
488,418
439,406
103,483
431,200
879,904
934,338
682,747
843,879
660,964
851,854
984,976
716,719
653,403
682,559
805,130
832,193
732,144
589,99
613,922
415,757
438,607
447,533
450,536
294,625
923,676
642,642
613,371
675,664
363,530
131,156
143,138
115,136
131,206
60,148
579,931
844,770
377,926
110,888
748,724
704,746
665,673
585,604
273,332
51,640
324,566
333,571
111,239
170,250
117,305
77,211
62,276
237,580
272,646
427,590
914,539
955,511
935,527
946,478
933,215
340,655
332,592
292,632
240,707
612,420
326,791
934,904
863,866
947,348
957,332
421,350
473,469
274,505
707,510
652,394
656,400
653,423
729,314
555,498
100,732
798,97
579,424
549,491
569,516
301,644
914,442
554,530
531,691
646,594
252,46
126,129
211,189
180,133
172,119
200,134
575,375
404,427
313,367
710,878
732,886
892,930
104,784
120,730
265,349
110,506
149,673
299,651
319,515
72,53
520,454
417,478
517,389
522,394
512,397
98,405
168,239
156,242
119,90
509,493
330,567
266,225
265,236
100,556
58,457
293,97
311,58
312,73
235,56
305,713
515,539
676,408
612,371
769,270
794,200
963,324
86,791
147,812
169,815
105,678
354,646
339,569
330,576
522,384
174,135
109,643
939,455
196,335
79,376
108,264
225,59
158,87
176,72
148,44
798,197
886,758
529,539
549,596
555,575
335,351
258,295
285,250
96,233
373,582
401,595
491,510
632,586
317,518
309,510
301,563
332,530
681,626
776,542
401,572
863,854
716,673
692,689
347,687
464,438
378,245
272,45
281,61
269,69
212,75
288,47
309,635
428,602
457,526
234,468
48,346
843,505
336,571
339,337
332,339
357,325
341,348
358,609
392,636
365,585
372,630
175,513
376,510
297,300
316,302
288,264
103,253
145,274
166,220
186,255
120,224
881,118
717,83
808,760
859,863
878,871
437,314
55,684
240,946
639,235
113,38
147,72
91,72
58,43
328,374
257,747
191,822
83,807
403,376
555,124
471,186
118,144
891,803
452,441
420,467
507,411
225,562
175,581
225,562
250,573
203,547
287,278
273,244
337,101
360,128
354,100
192,50
737,843
213,477
331,74
193,149
156,272
123,215
65,110
69,44
611,898
485,440
332,362
484,637
255,723
568,819
601,713
600,679
611,681
596,457
544,448
637,425
543,332
308,696
371,621
332,399
794,380
399,579
415,495
713,332
629,957
751,325
729,313
465,331
316,475
172,520
882,852
736,351
742,318
749,284
786,235
429,598
421,583
428,585
485,476
324,120
420,141
290,653
362,532
308,679
231,612
53,536
958,449
193,194
266,132
231,255
362,232
591,747
307,630
308,694
269,644
255,628
299,642
725,367
725,723
758,369
771,369
772,419
736,379
784,384
450,633
504,700
529,662
374,596
219,73
487,55
545,89
322,507
333,508
713,331
719,941
648,911
715,966
623,583
339,928
339,856
126,896
384,367
478,489
228,622
265,671
328,713
325,684
238,582
212,553
250,269
285,291
286,262
213,195
82,130
402,396
286,677
335,740
673,362
51,693
334,598
334,614
248,603
221,568
466,672
424,712
290,63
282,45
111,138
255,152
200,151
150,148
147,161
140,90
687,179
554,123
413,637
432,673
456,638
358,593
241,660
257,683
244,648
223,565
589,529
446,570
893,669
545,379
510,350
306,226
256,315
330,301
310,271
430,635
428,577
361,590
933,467
824,311
95,548
121,491
96,539
54,468
410,425
974,764
867,801
706,323
641,309
651,481
838,214
260,683
257,739
283,648
196,856
217,933
227,333
197,337
273,313
329,670
351,533
155,198
417,65
92,248
384,239
752,382
789,385
612,646
682,631
665,599
761,740
749,704
719,692
596,413
592,363
335,654
453,515
452,454
391,405
289,497
241,490
346,383
189,300
56,311
263,156
181,228
241,145
88,87
504,458
542,405
461,336
544,548
450,540
269,768
506,347
516,588
548,586
476,283
39,293
204,138
147,98
150,244
485,686
484,682
456,660
325,430
311,622
348,617
390,586
164,151
83,148
235,745
533,636
718,571
443,623
574,559
722,601
287,672
426,60
469,682
545,664
490,663
669,635
517,781
551,809
439,773
477,778
311,798
391,53
398,60
362,69
310,92
84,51
684,526
531,663
530,639
565,707
532,714
682,740
536,436
490,495
386,578
721,766
681,626
715,663
765,909
429,466
694,612
455,434
570,438
333,348
336,394
320,339
404,459
376,406
402,463
370,417
337,383
103,77
240,294
129,128
393,623
314,527
189,518
236,540
560,845
355,358
776,313
454,623
247,726
101,704
351,710
646,393
510,338
358,592
444,586
326,522
272,670
366,529
785,440
694,439
691,278
548,61
331,515
349,691
286,633
222,629
302,272
288,233
294,240
85,215
102,144
727,315
482,495
413,487
451,541
473,288
537,325
541,334
569,323
646,229
255,866
459,556
308,639
923,251
932,350
955,696
703,381
670,381
763,304
674,371
735,331
735,343
777,286
665,396
799,295
113,445
73,586
568,929
822,872
449,546
324,604
447,465
723,315
720,324
235,432
200,338
193,335
548,485
530,479
221,557
325,470
263,400
311,414
330,400
339,368
954,509
356,398
902,618
927,558
954,644
936,658
751,716
929,642
916,671
469,363
366,512
258,654
335,607
333,637
475,619
270,706
217,750
320,803
754,271
721,345
640,315
322,373
696,570
471,644
463,658
463,670
495,671
495,627
104,313
124,308
225,117
879,862
757,789
320,251
88,146
428,615
451,648
528,501
593,555
323,353
594,573
590,563
587,532
436,629
347,591
343,690
344,715
354,742
337,713
134,119
685,927
235,504
329,503
331,420
372,646
353,730
803,529
909,785
955,818
587,935
495,960
598,681
783,717
696,647
641,386
564,584
610,557
605,966
523,914
960,694
929,849
674,955
576,689
961,612
860,730
799,581
785,431
549,469
686,504
662,497
290,701
282,666
304,646
404,583
394,398
362,377
307,686
534,595
365,634
414,623
87,516
341,608
276,667
459,188
430,687
498,676
580,592
479,444
222,538
319,644
289,680
338,197
332,202
466,201
425,300
330,616
100,390
328,551
437,559
538,507
134,130
127,79
416,681
480,637
437,962
361,351
374,366
376,339
338,256
423,962
728,106
693,68
640,63
281,255
296,652
320,642
325,573
468,663
106,372
79,391
71,329
78,266
417,955
435,911
250,638
226,276
239,288
204,273
108,184
589,515
416,904
356,850
470,899
453,917
327,605
267,686
708,718
818,933
648,496
626,58
728,362
824,472
939,466
861,492
381,404
56,108
107,168
131,121
125,65
509,418
411,356
115,199
72,128
261,89
62,536
51,443
107,418
94,414
906,628
935,642
944,637
943,618
940,789
956,788
946,875
281,300
262,264
221,187
195,210
131,191
383,593
487,638
534,656
357,650
620,375
958,636
743,325
723,320
756,570
786,932
718,865
716,881
732,340
754,311
754,256
730,228
787,219
666,300
139,192
167,147
219,150
320,96
150,173
353,409
346,382
937,379
902,397
506,682
533,715
530,738
530,711
239,450
431,467
500,434
530,448
526,357
470,453
486,491
317,355
368,623
404,587
784,73
788,118
310,520
361,521
331,548
952,663
480,869
852,967
821,872
786,865
610,307
858,906
328,560
328,544
306,484
687,174
385,584
411,562
543,534
293,663
265,707
339,695
735,767
834,713
474,486
260,757
686,307
950,719
938,596
923,556
953,482
953,518
383,438
466,455
931,502
333,629
137,516
751,260
811,265
860,335
826,240
321,545
607,666
517,683
600,671
535,806
97,340
43,243
55,237
38,175
834,118
592,355
551,352
538,284
93,136
421,64
439,485
439,571
397,583
514,574
563,461
392,447
537,546
478,508
499,531
631,601
628,512
636,488
582,512
587,445
274,663
302,678
339,742
349,723
113,140
246,625
99,400
354,210
295,346
297,272
201,94
210,68
89,63
813,250
420,605
527,551
351,625
412,570
339,578
612,748
523,391
230,120
186,116
156,97
142,48
61,20
352,727
323,724
247,636
344,688
171,804
217,633
234,612
342,700
252,620
335,614
370,164
161,136
94,78
89,167
107,824
904,977
206,162
152,105
749,479
312,508
450,500
313,500
259,675
135,64
331,390
370,516
338,628
536,463
359,177
221,505
171,511
221,556
44,268
417,440
417,446
473,435
463,335
117,201
75,103
87,54
85,102
309,674
469,544
305,309
319,319
673,471
290,648
887,848
813,794
811,784
705,723
369,612
425,438
335,578
950,270
913,344
474,478
264,310
317,310
177,123
104,64
420,609
62,673
351,647
351,651
322,664
449,487
379,433
423,86
335,70
267,65
176,80
134,138
613,441
566,437
564,495
587,456
632,604
539,588
573,527
225,255
308,290
277,201
162,172
166,183
409,754
759,962
696,961
669,964
728,881
618,758
590,315
592,334
575,443
434,418
602,434
557,724
327,615
401,646
362,712
647,958
832,819
862,744
393,240
496,347
438,427
923,377
614,605
67,468
94,483
77,371
186,390
182,485
231,589
262,640
51,350
603,762
496,460
147,505
872,903
923,659
950,615
894,630
438,644
176,487
257,436
175,509
174,465
61,205
285,790
391,53
397,61
310,628
234,627
236,630
315,669
293,674
491,549
624,936
588,809
561,805
269,323
103,225
131,115
228,187
65,189
77,119
282,671
245,621
201,498
280,406
594,403
79,46
941,466
598,739
597,574
712,619
257,640
248,617
211,641
257,708
259,645
205,548
180,270
128,282
184,129
246,269
148,152
70,332
77,349
43,54
413,416
325,373
401,357
446,543
466,567
197,126
55,194
53,360
65,339
118,187
115,454
53,127
316,502
962,481
694,867
738,844
947,608
524,401
887,152
256,683
323,650
355,639
80,540
72,407
100,245
46,205
800,565
550,548
528,839
440,547
779,288
337,58
184,143
531,395
467,635
189,522
181,431
325,531
488,456
530,570
579,393
545,475
411,92
470,52
145,52
94,45
334,61
206,557
471,195
194,169
170,221
313,82
347,715
263,660
329,631
363,641
134,216
256,70
202,85
163,146
87,57
119,67
713,780
707,739
804,621
816,653
676,649
633,680
824,733
227,536
300,565
319,674
429,564
283,490
307,475
189,497
198,362
324,552
364,622
265,553
236,455
678,543
495,940
278,863
77,796
313,479
473,70
305,49
489,58
164,516
678,318
750,302
597,231
677,224
576,153
548,516
564,442
554,440
545,429
713,58
325,272
186,283
199,252
181,208
695,651
385,506
393,606
494,536
446,795
342,831
449,934
353,86
332,60
147,47
59,27
48,21
758,289
898,452
311,628
423,496
92,331
145,42
123,42
113,76
83,49
756,327
528,551
508,609
476,521
448,543
471,520
339,579
327,546
331,570
836,863
594,303
510,414
299,48
105,38
95,143
87,172
105,477
237,267
207,227
268,189
915,411
406,452
621,389
451,440
493,466
471,371
327,477
719,323
616,329
656,695
754,904
878,960
266,238
712,522
700,583
708,599
690,607
454,432
365,649
363,62
495,526
428,472
887,207
713,363
659,391
708,388
402,98
360,64
134,129
389,629
319,578
328,558
279,652
365,604
501,432
52,534
119,634
60,553
316,683
356,632
354,584
154,265
153,292
185,297
194,302
229,288
81,435
383,514
629,772
373,901
685,764
623,683
660,803
747,469
769,381
688,407
764,379
551,440
583,543
556,470
364,710
708,468
678,959
766,694
830,862
667,476
651,477
920,948
822,878
545,549
608,601
157,897
704,325
709,395
746,304
946,461
609,505
319,620
284,687
93,619
542,100
576,84
539,57
488,80
456,575
930,830
399,640
396,603
425,557
444,668
836,497
284,117
387,65
377,53
435,72
459,60
55,456
83,343
130,119
798,459
720,515
684,583
685,553
407,244
955,715
528,513
535,485
542,474
57,409
117,389
116,350
110,260
84,133
125,132
668,762
660,771
680,741
452,577
327,620
307,628
384,584
390,583
311,473
336,570
226,745
320,544
148,531
405,352
351,726
662,377
829,792
833,550
820,782
825,878
281,491
498,606
63,462
425,183
591,370
435,344
896,326
603,713
597,550
617,568
643,501
66,108
228,272
130,138
94,137
51,24
418,456
232,731
364,786
302,506
320,503
397,404
396,376
193,269
206,233
547,558
491,498
481,451
328,606
350,650
281,627
275,65
265,83
197,143
81,50
257,630
295,662
248,601
93,203
127,87
213,145
93,157
230,738
427,644
481,600
326,577
404,594
475,445
451,631
482,550
527,457
656,433
634,394
523,382
609,384
674,433
588,147
945,251
615,941
653,956
322,632
788,760
749,786
702,691
925,187
394,845
135,800
324,789
267,334
281,252
716,757
682,733
576,538
256,487
264,686
255,692
274,696
195,652
91,139
126,213
109,434
187,187
116,86
102,78
362,588
318,652
135,123
169,302
297,821
185,106
163,64
95,89
268,40
319,106
293,122
361,586
625,385
675,368
440,565
934,502
937,454
899,426
219,635
214,653
212,674
208,664
326,496
436,871
368,853
628,963
879,904
636,393
577,378
523,354
702,319
361,164
276,104
267,221
148,87
138,181
122,211
43,91
491,73
278,350
400,361
403,356
238,276
435,545
842,857
180,208
47,211
61,195
65,228
51,280
103,283
330,689
268,642
229,598
468,610
483,606
487,667
359,713
265,700
330,677
370,955
524,504
296,201
307,146
296,47
279,47
206,38
64,631
68,511
114,501
53,438
326,371
527,51
212,134
183,121
243,156
26,57
414,606
317,528
410,944
135,301
130,97
102,140
97,72
269,320
285,251
372,246
318,147
250,47
78,60
658,942
372,771
441,776
424,774
731,360
754,262
314,708
319,689
285,687
143,137
355,351
809,665
796,662
718,347
399,878
418,577
307,193
298,152
188,201
430,666
578,552
698,398
877,137
465,459
404,469
559,450
863,875
462,474
410,385
393,376
362,396
140,130
306,690
157,516
120,681
74,159
145,136
389,522
918,671
370,419
597,671
862,824
901,836
880,930
546,560
292,212
221,159
318,55
90,139
362,852
223,894
195,529
415,626
117,477
285,64
268,58
219,68
191,76
45,23
333,844
325,607
431,563
67,565
214,770
249,643
788,723
934,890
920,686
801,821
824,834
485,443
462,343
609,617
535,569
329,661
350,656
670,489
671,476
532,465
565,468
739,361
942,286
345,689
354,597
409,388
353,111
76,36
87,437
71,421
89,605
34,259
338,920
312,661
517,503
421,690
315,501
190,473
117,501
147,252
83,199
129,87
80,55
872,827
77,432
468,492
408,379
261,263
256,221
69,210
137,79
105,48
232,587
101,785
122,753
51,606
57,471
50,528
105,427
368,513
192,82
414,380
58,101
444,676
544,473
476,470
752,461
448,627
571,230
656,620
639,585
691,604
771,581
832,522
765,470
688,641
366,336
380,349
432,416
275,107
67,602
91,524
110,363
217,186
122,134
736,909
252,650
485,514
673,740
766,728
756,732
787,734
763,804
