x,y
536,442
409,501
274,61
232,107
132,41
290,906
456,889
418,930
432,859
875,916
53,547
50,257
236,172
167,181
104,144
199,191
250,274
274,314
157,258
313,258
574,539
793,552
360,364
292,634
213,669
770,362
826,237
775,331
658,283
552,538
454,666
638,786
759,834
939,623
895,557
638,879
379,430
420,438
572,432
544,451
514,458
569,478
513,490
501,508
388,399
248,287
683,529
755,614
732,867
600,445
791,557
320,689
940,220
873,136
889,215
450,497
449,490
464,517
632,607
718,328
667,382
683,434
544,805
640,670
108,157
130,179
152,134
493,767
745,844
363,706
190,671
166,667
147,677
50,618
105,390
467,321
409,304
387,111
325,103
110,141
658,641
446,418
47,554
764,404
637,782
497,785
579,352
591,381
650,164
666,188
543,70
504,406
383,381
335,359
405,406
342,357
570,452
523,414
559,400
474,377
315,306
757,336
674,373
723,348
640,408
625,439
354,378
421,619
525,481
433,401
434,639
505,524
383,339
312,100
710,384
679,376
752,440
118,138
914,540
311,672
327,501
909,781
882,883
852,903
903,928
905,859
905,577
963,496
895,546
952,338
910,279
943,611
954,620
926,565
957,478
945,774
488,624
481,627
81,553
393,79
444,63
334,349
323,256
302,281
308,279
326,322
193,170
679,743
171,623
53,696
79,704
970,745
909,603
428,549
444,654
448,772
462,774
356,776
402,748
398,337
73,389
73,361
66,381
133,360
57,446
409,775
86,622
519,165
370,117
565,434
357,416
302,272
70,273
99,349
93,275
398,574
798,497
772,576
526,528
530,546
611,560
514,540
517,532
111,239
109,252
85,203
141,264
436,307
141,257
63,134
38,104
75,79
69,125
592,384
469,286
305,297
292,798
328,673
236,609
341,74
355,67
104,44
161,80
738,244
527,370
412,339
325,342
339,641
381,615
805,945
835,921
59,759
61,600
124,543
524,526
513,494
486,535
572,467
744,370
164,441
239,458
63,485
120,497
596,385
448,839
427,765
815,674
960,618
956,489
949,578
795,310
691,704
533,495
580,398
341,634
447,108
490,76
368,56
323,60
360,57
640,654
577,619
723,338
696,753
575,223
742,434
725,377
738,359
803,361
783,331
581,400
446,430
516,419
557,449
527,340
417,443
467,499
454,482
189,456
53,301
412,418
365,420
402,357
399,400
361,372
436,418
424,460
353,397
268,424
481,436
323,574
399,638
429,567
370,609
427,673
480,455
574,469
547,455
532,388
596,425
718,339
220,190
222,95
211,52
48,47
25,44
683,347
322,546
381,583
448,493
371,420
365,401
307,324
359,406
453,215
352,227
876,855
914,976
231,212
349,86
349,200
254,232
102,63
404,580
412,615
382,424
383,635
764,430
532,406
444,422
449,430
415,443
361,386
45,307
122,38
102,52
710,722
681,609
684,602
682,597
600,523
109,669
321,50
293,52
310,70
342,70
397,103
419,50
419,57
260,533
339,373
856,852
661,773
614,563
639,483
254,576
425,323
46,298
314,279
395,384
169,257
273,214
180,120
127,104
507,473
362,395
359,396
333,298
85,268
235,591
58,277
62,253
63,306
58,184
28,41
554,805
827,840
854,871
962,761
701,726
678,714
668,440
638,483
708,327
645,383
453,456
629,511
534,454
525,495
388,343
414,295
643,306
741,231
204,667
314,710
357,700
444,943
348,964
417,961
109,807
921,881
606,714
453,676
593,600
638,414
436,603
412,608
264,537
248,579
63,411
63,292
81,346
948,400
422,455
438,420
295,404
261,500
344,719
318,710
221,567
243,627
93,471
285,153
358,88
301,127
93,87
37,62
644,620
592,366
666,500
749,284
734,304
624,259
381,407
398,410
383,440
284,670
324,719
372,723
241,351
668,370
438,403
406,729
440,581
83,681
885,153
805,84
692,85
417,276
314,373
377,340
240,38
89,849
66,689
80,199
358,632
508,503
159,798
662,412
713,343
585,51
235,717
172,800
153,806
248,899
487,513
374,433
346,350
423,610
495,547
348,68
281,47
789,325
400,67
250,615
267,710
321,730
256,58
417,54
618,438
331,680
206,658
258,117
206,59
574,561
540,581
594,600
688,294
443,454
568,424
471,436
490,258
433,680
424,687
416,647
875,776
402,596
624,637
642,592
293,662
312,700
196,552
796,236
746,70
260,216
294,120
237,48
78,165
691,291
580,459
421,408
414,473
410,424
112,500
100,596
87,475
278,53
102,138
166,129
222,135
59,224
287,658
225,497
952,650
891,652
667,956
832,932
846,813
871,915
961,399
952,368
931,444
829,317
690,478
412,506
481,448
427,177
400,124
341,69
257,50
228,39
93,526
125,362
229,441
194,410
673,175
63,694
449,477
625,399
613,398
613,565
566,519
268,213
593,326
655,696
509,547
888,133
969,773
928,309
918,350
711,744
533,803
377,396
336,370
512,55
584,78
653,281
637,307
749,324
311,697
285,688
190,114
863,364
959,311
724,352
653,334
663,358
564,442
498,343
567,346
539,269
555,239
357,543
387,506
511,522
109,223
235,242
187,51
220,139
209,140
217,132
337,683
589,358
472,66
476,75
379,345
415,293
678,352
330,670
319,665
278,646
282,640
419,487
83,335
60,261
264,77
217,158
762,61
825,170
941,339
326,734
342,724
434,758
490,465
462,919
290,488
339,516
336,509
478,624
906,534
642,286
351,616
387,639
420,686
616,941
545,958
519,914
786,736
358,649
364,617
844,563
526,578
278,684
324,713
119,773
109,779
71,655
689,390
565,441
559,417
462,575
327,555
411,420
367,339
635,99
690,77
532,335
388,915
729,334
758,322
778,300
247,717
737,336
750,374
470,340
80,40
515,400
497,421
410,452
343,415
467,488
463,465
449,493
618,157
354,633
319,666
340,666
707,334
734,341
747,340
122,254
198,232
61,187
57,142
725,369
499,415
760,296
784,303
765,254
553,132
565,434
685,487
477,609
411,676
378,633
347,621
493,621
478,479
201,126
222,113
181,107
78,45
8,27
896,574
538,488
491,552
448,566
589,434
544,471
137,212
414,86
276,60
129,64
243,573
142,158
159,147
163,226
536,371
517,405
262,677
210,794
352,615
270,657
535,456
505,498
721,348
672,353
952,731
608,391
388,620
447,480
561,450
509,350
351,528
669,815
728,764
507,533
161,117
337,578
952,611
793,421
660,435
701,570
729,598
775,415
787,457
799,527
794,534
813,613
822,612
739,601
430,664
483,545
900,472
715,742
659,630
681,496
171,228
114,290
90,298
206,307
122,227
72,181
495,797
653,612
923,638
898,563
433,620
488,655
519,510
445,636
475,673
586,400
481,304
466,312
296,314
149,200
179,209
801,136
415,100
196,147
202,181
121,60
67,69
76,57
706,324
790,238
805,206
467,581
531,536
747,754
763,381
933,345
752,754
664,370
556,477
332,479
453,636
265,681
337,413
379,422
376,408
560,374
880,923
842,359
732,619
835,849
335,569
376,594
545,547
347,650
720,741
651,956
704,396
598,377
520,157
379,406
360,368
326,360
336,393
204,215
113,228
212,173
254,156
295,209
417,250
273,150
210,199
219,176
760,340
748,245
806,261
522,447
682,400
467,518
241,634
70,599
319,727
136,878
84,341
343,646
113,305
428,148
435,75
155,199
110,139
548,238
539,281
563,350
933,337
918,316
374,720
137,671
829,237
338,625
306,665
328,708
106,496
418,284
626,236
593,320
959,607
397,589
362,516
320,529
798,298
892,651
201,485
230,473
249,604
253,570
309,513
256,120
117,85
194,165
101,64
74,56
53,86
690,375
852,346
653,415
678,442
684,414
432,938
580,540
598,376
398,626
326,693
401,712
486,542
478,499
453,430
562,488
536,361
773,824
814,784
882,852
113,515
270,420
316,406
123,378
648,380
750,515
327,728
364,735
330,740
424,714
88,368
53,290
211,407
378,649
762,853
658,324
714,378
712,368
522,499
517,462
540,402
279,680
566,111
508,107
503,108
129,140
516,461
600,573
608,618
489,518
395,506
468,533
492,557
472,509
404,353
388,346
630,144
526,105
309,57
214,40
186,82
401,82
369,117
74,264
119,210
93,232
537,433
508,516
529,474
502,457
567,423
55,284
67,228
368,412
327,367
317,294
268,293
263,215
413,433
397,447
412,397
364,625
465,649
441,543
483,416
471,432
611,379
784,474
504,458
523,483
393,365
942,613
398,704
284,837
117,73
161,149
62,471
89,441
135,138
442,313
483,284
606,384
438,330
394,631
886,945
440,595
374,515
473,478
183,281
138,247
86,401
84,357
119,257
64,678
293,49
55,342
50,515
53,434
68,430
207,556
64,336
106,310
68,293
68,289
733,735
281,933
612,893
607,878
850,837
885,178
827,153
753,117
548,127
358,514
648,403
460,286
236,679
321,698
510,163
483,270
197,246
783,868
323,357
357,64
391,74
41,223
49,191
64,103
43,274
346,515
422,421
249,353
266,231
587,437
526,377
568,418
259,304
158,118
739,327
357,684
354,724
251,659
131,670
343,656
256,598
316,631
93,411
202,294
525,81
525,69
472,83
398,63
43,27
563,433
567,435
568,477
576,441
501,416
183,125
130,50
227,75
238,52
524,477
683,461
537,492
553,497
596,524
211,284
154,141
112,87
296,837
137,788
428,690
402,613
385,643
323,500
544,390
556,362
483,362
664,388
693,392
681,447
681,524
646,486
612,390
540,347
630,390
559,238
709,59
358,352
223,758
220,721
227,798
279,137
219,104
172,70
133,143
916,529
900,424
903,361
591,281
344,699
357,721
375,651
735,916
278,631
232,108
268,254
300,319
352,380
21,35
67,373
296,201
256,338
175,185
135,123
760,287
770,313
656,376
554,434
303,670
417,557
313,357
278,329
282,253
125,90
200,128
88,96
888,820
874,817
793,857
395,641
389,772
405,52
445,55
382,59
115,265
159,59
165,118
162,122
72,55
574,597
650,688
835,642
564,461
184,557
347,682
361,640
727,317
705,288
349,589
343,574
576,515
171,145
148,104
758,317
756,322
653,390
674,430
734,353
708,361
428,589
210,761
647,379
324,733
694,373
626,145
709,748
789,69
784,135
512,453
438,460
560,360
485,312
361,400
657,395
547,489
494,451
494,432
452,421
468,431
357,543
585,585
621,570
601,554
522,510
483,496
488,485
643,591
516,103
480,86
747,233
794,214
535,541
458,484
459,437
540,434
481,446
489,343
956,901
327,640
302,670
167,667
411,479
293,142
150,107
143,77
616,389
706,329
81,551
145,368
74,117
128,124
126,61
360,656
672,946
661,627
314,515
756,327
737,303
678,758
717,380
751,373
309,718
364,732
296,639
327,667
76,120
593,581
462,508
466,545
513,681
468,296
586,603
569,532
230,106
198,168
214,157
131,92
91,69
455,594
914,649
327,565
202,519
326,367
363,695
349,706
871,846
582,579
824,753
582,965
448,945
564,931
274,636
364,591
267,682
324,589
493,339
481,209
488,217
544,560
544,535
446,421
255,59
126,90
117,139
412,508
181,509
56,362
56,455
484,787
472,780
444,773
129,899
51,362
123,136
84,52
336,575
461,456
476,462
375,416
427,473
200,237
520,680
468,270
400,380
129,74
606,603
654,601
635,593
689,591
414,729
366,705
265,645
