x,y
881,160
869,149
645,59
683,54
410,336
359,253
379,355
390,250
72,598
95,449
594,911
90,783
392,59
454,321
880,124
851,133
845,88
584,697
599,711
560,693
74,627
81,474
74,580
102,502
317,324
549,94
516,108
361,252
356,160
302,272
268,95
342,53
320,78
248,67
186,274
104,248
98,230
109,214
770,373
214,630
799,406
816,94
803,143
824,136
451,479
430,462
158,662
691,402
822,245
626,65
563,59
463,289
393,344
571,480
419,494
446,420
434,452
686,76
672,214
50,631
497,475
471,519
48,590
123,539
696,361
652,428
728,389
550,384
63,727
741,237
243,949
763,99
396,422
332,588
373,526
550,511
570,599
432,664
629,496
676,478
689,441
915,218
77,487
325,403
920,290
504,939
737,523
58,621
580,61
74,809
932,268
661,90
563,73
229,578
341,574
418,626
940,445
913,643
393,613
212,562
465,424
409,458
506,413
230,535
844,223
833,131
625,588
492,55
428,775
425,554
483,609
48,617
63,722
714,59
706,79
467,326
476,320
111,731
356,66
449,326
90,453
50,121
395,418
543,900
79,626
304,664
380,356
479,951
716,942
177,689
88,462
520,519
427,441
451,474
468,81
356,252
66,555
195,870
377,582
69,693
56,727
330,403
425,130
109,432
477,476
480,451
443,456
314,358
931,623
281,772
402,403
440,317
450,464
114,582
818,503
925,199
842,206
659,475
752,382
679,423
655,412
692,406
704,86
305,492
50,462
80,428
495,437
762,251
930,630
682,603
687,524
554,372
721,78
720,94
428,555
460,587
570,509
336,330
69,373
199,74
102,73
60,726
684,55
605,940
430,555
569,100
504,415
671,371
642,305
751,272
719,212
300,507
447,199
728,185
835,107
619,137
693,509
284,906
413,427
239,924
424,918
281,888
672,680
964,396
933,371
837,97
758,357
645,243
631,128
645,105
667,106
489,603
477,476
771,106
555,494
232,554
217,462
244,682
374,361
223,897
757,907
715,911
619,952
610,952
645,905
121,713
160,826
928,337
906,284
906,284
538,148
369,518
609,552
569,803
553,808
532,811
740,239
669,214
438,476
683,942
829,835
697,72
493,525
526,362
344,780
354,778
115,425
313,666
301,652
294,685
226,574
161,681
502,426
329,330
891,373
896,240
73,704
409,281
703,60
819,128
408,108
482,69
609,634
538,360
586,612
561,603
559,592
600,577
374,921
326,604
483,921
310,826
901,399
628,945
580,849
439,842
277,795
205,616
174,643
140,905
327,674
674,351
790,446
774,376
249,726
411,377
385,107
624,503
326,595
846,193
198,772
279,913
681,211
699,210
239,916
184,842
321,452
321,418
373,424
435,764
425,661
327,525
477,463
100,447
107,470
892,182
331,471
590,383
661,475
541,380
242,650
799,664
906,150
883,134
576,81
281,785
259,789
268,790
251,770
392,753
203,554
659,302
474,205
601,939
694,401
407,130
429,61
604,568
695,67
943,413
914,400
955,360
899,255
436,760
397,722
199,527
389,346
52,599
184,786
912,502
902,468
582,399
257,640
242,634
399,76
220,715
805,288
142,790
138,798
896,149
808,139
926,175
70,474
215,558
470,334
76,738
790,104
104,700
701,72
873,368
963,351
564,448
706,356
509,198
282,57
184,388
570,547
528,521
461,501
534,530
630,485
850,427
433,848
412,615
584,559
683,512
655,286
490,68
838,446
345,656
385,754
310,77
204,67
283,53
137,67
585,402
165,843
894,303
893,265
465,500
524,510
471,504
579,146
135,895
344,832
551,587
86,622
89,601
481,458
200,864
123,817
64,561
279,674
935,499
915,187
184,876
77,790
881,127
891,149
785,109
158,808
129,767
242,624
307,300
500,103
561,86
102,722
58,405
491,664
464,311
502,754
461,685
364,348
470,624
427,886
480,83
399,458
178,685
128,515
329,557
617,658
185,886
319,734
640,761
392,501
451,422
387,409
482,471
458,444
401,427
220,560
64,425
326,647
328,681
312,675
60,744
71,740
500,455
577,233
459,495
580,783
310,631
79,836
523,452
766,96
924,445
595,681
581,670
594,667
433,647
526,491
162,896
175,855
755,112
485,514
53,700
198,571
535,571
363,962
300,913
358,698
575,364
72,820
444,413
456,316
444,476
891,351
503,476
77,458
192,326
230,781
597,325
248,936
667,277
428,618
419,479
544,580
480,485
96,806
540,572
921,287
738,236
80,710
174,849
400,450
429,489
436,411
402,495
440,77
763,67
935,236
407,339
328,266
565,341
765,127
559,350
684,417
393,597
620,521
428,487
542,465
419,407
550,135
556,508
443,414
464,88
506,109
877,496
61,483
314,518
316,549
314,504
350,316
532,91
143,920
794,118
795,402
594,318
92,702
162,685
774,406
860,388
753,380
890,345
954,450
677,473
624,419
99,494
817,262
793,385
781,381
906,227
706,68
834,315
118,773
964,331
715,83
256,526
898,250
527,51
198,756
798,402
75,628
391,888
897,353
300,49
257,732
234,879
500,539
350,376
101,622
62,546
100,485
557,68
702,538
371,338
731,82
